Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,BR_AC_CO2_Injection,Parecis,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_AC_Parecis,co2_storage_Parecis
CO2Injection,BR_AL_CO2_Injection,Sergipe_alagoas,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_AL_SergipeAlagoas,co2_storage_Sergipe_Alagoas
CO2Injection,BR_AM_CO2_Injection,Parecis,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_AM_Parecis,co2_storage_Parecis
CO2Injection,BR_AP_CO2_Injection,Parecis,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_AP_Parecis,co2_storage_Parecis
CO2Injection,BR_BA_CO2_Injection,Reconcavo,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_BA_Reconcavo,co2_storage_Reconcavo
CO2Injection,BR_CE_CO2_Injection,Ceara,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_CE_Ceara,co2_storage_Ceara
CO2Injection,BR_DF_CO2_Injection,Sao_francisco,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_DF_SaoFrancisco,co2_storage_Sao_Francisco
CO2Injection,BR_ES_CO2_Injection,Espirito_santo,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_ES_EspiritoSanto,co2_storage_Espirito_Santo
CO2Injection,BR_GO_CO2_Injection,Sao_francisco,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_GO_SaoFrancisco,co2_storage_Sao_Francisco
CO2Injection,BR_MA_CO2_Injection,Ceara,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_MA_Ceara,co2_storage_Ceara
CO2Injection,BR_MG_CO2_Injection,Sao_francisco,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_MG_SaoFrancisco,co2_storage_Sao_Francisco
CO2Injection,BR_MS_CO2_Injection,Parana,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_MS_Parana,co2_storage_Parana
CO2Injection,BR_MT_CO2_Injection,Parecis,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_MT_Parecis,co2_storage_Parecis
CO2Injection,BR_PA_CO2_Injection,Parecis,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_PA_Parecis,co2_storage_Parecis
CO2Injection,BR_PB_CO2_Injection,Potiguar,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_PB_Potiguar,co2_storage_Potiguar
CO2Injection,BR_PE_CO2_Injection,Sergipe_alagoas,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_PE_SergipeAlagoas,co2_storage_Sergipe_Alagoas
CO2Injection,BR_PI_CO2_Injection,Ceara,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,165.97,6.64,0,0.11,50,20,0,co2_transported_BR_PI_Ceara,co2_storage_Ceara
