Type,id,location,transforms--timedata,edges--elec_edge--unidirectional,edges--elec_edge--can_expand,edges--elec_edge--can_retire,edges--elec_edge--has_capacity,edges--elec_edge--constraints--MustRunConstraint,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--existing_capacity,edges--elec_edge--max_capacity,edges--elec_edge--investment_cost_25-A,edges--elec_edge--investment_cost_25-B,edges--elec_edge--investment_cost_25-C,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--elec_edge--fixed_om_cost_25-A,edges--elec_edge--fixed_om_cost_25-B,edges--elec_edge--fixed_om_cost_25-C,edges--elec_edge--variable_om_cost,edges--elec_edge--capacity_size,edges--elec_edge--end_vertex,edges--elec_edge--availability--timeseries--path,edges--elec_edge--availability--timeseries--header,Note
MustRun,Amazonas_hydro_ror,Amazonas,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,32256.606,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Amazonas_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Doce_hydro_ror,Doce,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,1506.478,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Doce_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Grande_hydro_ror,Grande,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,686.55,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Grande_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Iguacu_hydro_ror,Iguacu,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,763.642,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Iguacu_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jacui_capivari_hydro_ror,Jacui_capivari,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,558.963,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Jacui_capivari_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jequitinhonha_hydro_ror,Jequitinhonha,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,139.78,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror_2050.csv,Jequitinhonha_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paraiba_do_sul_hydro_ror,Paraiba_do_sul,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,772.781,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paraiba_do_sul_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Parana_hydro_ror,Parana,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,2029.274,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Parana_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranaiba_hydro_ror,Paranaiba,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,1802.113,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paranaiba_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranapanema_hydro_ror,Paranapanema,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,452.684,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paranapanema_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Sao_francisco_hydro_ror,Sao_francisco,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,1593.512,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror_2050.csv,Sao_francisco_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tiete_hydro_ror,Tiete,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,167.072,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Tiete_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tocantins_hydro_ror,Tocantins,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,7115.414,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_N,system/availability_hydro_ror_2050.csv,Tocantins_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Uruguai_hydro_ror,Uruguai,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,0,2999.787,1932000,1932000,1932000,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Uruguai_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Amazonas_hydro_ror_existing,Amazonas,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,22693.85,22693.85,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Amazonas_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Doce_hydro_ror_existing,Doce,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1604,1604,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Doce_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Grande_hydro_ror_existing,Grande,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2576.8,2576.8,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Grande_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Iguacu_hydro_ror_existing,Iguacu,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2788.368,2788.368,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Iguacu_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jacui_capivari_hydro_ror_existing,Jacui_capivari,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1165.4,1165.4,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Jacui_capivari_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Jequitinhonha_hydro_ror_existing,Jequitinhonha,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,462.011,462.011,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror_2050.csv,Jequitinhonha_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paraiba_do_sul_hydro_ror_existing,Paraiba_do_sul,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1281.787,1281.787,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paraiba_do_sul_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Parana_hydro_ror_existing,Parana,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,10151.2,10151.2,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Parana_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranaiba_hydro_ror_existing,Paranaiba,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1235.4,1235.4,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paranaiba_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Paranapanema_hydro_ror_existing,Paranapanema,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1221.3,1221.3,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Paranapanema_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Sao_francisco_hydro_ror_existing,Sao_francisco,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,7441.601,7441.601,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_NE,system/availability_hydro_ror_2050.csv,Sao_francisco_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tiete_hydro_ror_existing,Tiete,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,1510.99,1510.99,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_SE,system/availability_hydro_ror_2050.csv,Tiete_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Tocantins_hydro_ror_existing,Tocantins,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2682.7,2682.7,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_N,system/availability_hydro_ror_2050.csv,Tocantins_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
MustRun,Uruguai_hydro_ror_existing,Uruguai,Electricity,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,2507.6,2507.6,0,0,0,50,0.1,20,12820,12820,12820,0.1,1,elec_proxy_S,system/availability_hydro_ror_2050.csv,Uruguai_hydro_ror,fixed_om_cost and variable_om_cost from 5-zone model.
