Time_Index,Amazonas_hydro_ror,Doce_hydro_ror,Grande_hydro_ror,Iguacu_hydro_ror,Jacui_capivari_hydro_ror,Jequitinhonha_hydro_ror,Paraiba_do_sul_hydro_ror,Parana_hydro_ror,Paranaiba_hydro_ror,Paranapanema_hydro_ror,Sao_francisco_hydro_ror,Tiete_hydro_ror,Tocantins_hydro_ror,Uruguai_hydro_ror
1,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
2,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
3,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
4,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
5,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
6,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
7,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
8,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
9,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
10,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
11,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
12,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
13,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
14,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
15,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
16,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
17,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
18,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
19,0.024751547,0.334498815,1.0,0.652548372,0.465467736,0.155630991,0.732648404,1.0,0.740260159,0.726209531,0.34434875,1.0,0.691223767,0.534851252
