time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.004018333,0.0,0.0,0.000817502,0.0,0.004643077,0.0,0.0,0.0,0.000462523,0.0,0.0,0.0,0.002867333,0.002600667,0.0,0.0,0.003908333,0.002178,0.0,0.0,0.0,0.0,0.002526667,0.0,0.0
7,0.0,0.140755,0.0,0.0,0.076675756,0.070324673,0.102563077,0.010541786,0.010541786,0.008026248,0.046040396,0.005539748,0.001187819,0.000777472,0.127946,0.1275395,0.025344692,0.020674137,0.081876667,0.127136667,0.0,0.0,0.045382482,0.045577464,0.134523333,0.023982363,0.006552494
8,0.000156667,0.377551667,0.014203763,0.064498947,0.252299239,0.266090833,0.279794615,0.088773327,0.088773327,0.068569572,0.154562664,0.117112684,0.067211956,0.045863943,0.329508,0.3471525,0.104685742,0.136584584,0.252533333,0.345330667,0.009487435,0.007504286,0.235031989,0.195843841,0.348528333,0.103827262,0.049682048
9,0.076934286,0.539273333,0.114050215,0.231309474,0.390557741,0.448996012,0.449288462,0.197933738,0.197933738,0.148753296,0.271299147,0.266838183,0.194195294,0.138468908,0.538554,0.540392333,0.185456797,0.287879341,0.415135833,0.518652,0.07900582,0.161390179,0.437899297,0.346177319,0.441916667,0.21703602,0.120653926
10,0.177224762,0.717716667,0.227910323,0.372500263,0.498785847,0.608566637,0.602353846,0.301295155,0.301295155,0.20739417,0.358973162,0.421540686,0.310395309,0.235702897,0.676422,0.6953265,0.253264447,0.460601688,0.560165,0.64395,0.161745664,0.385979821,0.591638828,0.453001957,0.577833333,0.336973057,0.195632029
11,0.246317619,0.741401667,0.335356344,0.491655526,0.592476336,0.680072054,0.674644615,0.402997685,0.402997685,0.239335683,0.453951325,0.513847287,0.404936602,0.317496464,0.775491333,0.738319833,0.311463952,0.535049111,0.640195,0.76093,0.222517879,0.543638929,0.696739724,0.529462826,0.652145,0.399191697,0.242161194
12,0.444675714,0.760986667,0.407304086,0.608914737,0.623331823,0.705632679,0.661561538,0.455403518,0.455403518,0.258336432,0.508178163,0.621899044,0.483775295,0.356319729,0.772910667,0.7188505,0.314723319,0.628904853,0.716575,0.729045333,0.355835131,0.640427143,0.741885054,0.642506957,0.729913333,0.467260641,0.233578813
13,0.470690476,0.71772,0.454224731,0.645255263,0.627978662,0.668888274,0.702568462,0.428359019,0.428359019,0.294194909,0.503071429,0.611395348,0.513778864,0.411626055,0.753897333,0.691985833,0.347395434,0.567627091,0.72466,0.728165333,0.439573166,0.69166125,0.756038239,0.573700145,0.650416667,0.485838896,0.248318148
14,0.560455714,0.574158333,0.471770215,0.634431579,0.544969205,0.574153333,0.696717692,0.5039654,0.5039654,0.256572284,0.540538401,0.604577502,0.500884498,0.409604916,0.648328,0.608399333,0.318394449,0.584174834,0.674064167,0.639851333,0.44396778,0.705605179,0.713401409,0.493760507,0.535918333,0.445808682,0.222628255
15,0.496711905,0.507613333,0.43542828,0.590996579,0.450568021,0.500553095,0.592136923,0.428382551,0.428382551,0.213722537,0.452673724,0.557294676,0.468529877,0.381576732,0.543208667,0.512893667,0.294628347,0.531230857,0.533958333,0.520008667,0.497891306,0.65248875,0.659954661,0.472582681,0.478986667,0.352271336,0.209300865
16,0.52729,0.331238333,0.428892688,0.387679474,0.277099881,0.333465417,0.447777692,0.419937093,0.419937093,0.146810785,0.350292795,0.523840445,0.408771303,0.313835725,0.347916,0.279370833,0.157545189,0.455613274,0.379951667,0.344830667,0.221141599,0.578782857,0.571651822,0.434861957,0.288278333,0.371850739,0.264792519
17,0.450557143,0.177828333,0.320800215,0.217690263,0.149313968,0.142463185,0.269098462,0.268044579,0.268044579,0.074624555,0.233428,0.384593839,0.321299376,0.218879843,0.136846,0.1322785,0.08291627,0.321644898,0.214205833,0.136861333,0.262943741,0.442366071,0.403953584,0.312312826,0.149235,0.248443513,0.188162487
18,0.304110952,0.012956667,0.183592366,0.091348684,0.039342003,0.015891339,0.078166923,0.125461818,0.125461818,0.022574558,0.080352185,0.234065764,0.189390851,0.099574714,0.010274,0.013467,0.020741186,0.174833529,0.0735225,0.008872,0.180649963,0.252274286,0.257183056,0.158752464,0.016303333,0.142760975,0.091390529
19,0.16788,0.0,0.058724731,0.001655789,9.65e-5,0.0,0.0,0.012822008,0.012822008,6.84e-6,0.003108684,0.05713107,0.050900616,0.010395616,0.0,0.0,0.0,0.040550192,0.000994167,0.0,0.069894786,0.056068214,0.090195534,0.037314928,0.0,0.02254163,0.003817594
20,0.028297143,0.0,0.000312796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38e-5,8.98e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003909185,0.0,0.001253239,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.005568333,0.0,0.0,0.00117075,0.0,0.004723077,0.0,0.0,0.0,0.00057014,0.0,0.0,0.0,0.003204667,0.0035275,0.0,0.0,0.002905833,0.002838,0.0,0.0,0.0,0.0,0.004313333,0.0,0.0
31,0.0,0.132168333,0.0,0.0,0.076304814,0.05009119,0.11374,0.015419397,0.015419397,0.016075108,0.063950152,0.006873061,0.001265073,0.001285742,0.112035333,0.106354333,0.035308954,0.02250445,0.089924167,0.110748,0.0,0.0,0.04735527,0.058881739,0.113963333,0.029564622,0.010015632
32,0.000673333,0.318873333,0.016107312,0.029935789,0.220059438,0.157142113,0.288982308,0.100405451,0.100405451,0.110781672,0.209060091,0.130855521,0.081298283,0.057990799,0.275156667,0.260373667,0.153921716,0.127677602,0.2426175,0.273054,0.012631123,0.005130179,0.249871243,0.220581014,0.289978333,0.132373433,0.073659994
33,0.079215714,0.500433333,0.148261828,0.119875,0.379301331,0.316676935,0.490705385,0.236455118,0.236455118,0.240237255,0.37368625,0.27618537,0.239196801,0.20310695,0.476151333,0.436459167,0.289057675,0.211631873,0.466974167,0.455434667,0.095348119,0.146418036,0.476893712,0.39818971,0.47002,0.216949436,0.18719339
34,0.253541905,0.61758,0.303866559,0.243089211,0.528051395,0.459214851,0.619616923,0.343808734,0.343808734,0.40553713,0.473200925,0.420027084,0.376256567,0.34664716,0.615861333,0.595861333,0.455120306,0.28708711,0.597271667,0.597,0.238888992,0.317294464,0.660945964,0.583206812,0.652043333,0.313634515,0.304629261
35,0.365244286,0.7175,0.416972581,0.290061579,0.601881775,0.505982827,0.70922,0.435308458,0.435308458,0.492426985,0.528341985,0.502319228,0.457462817,0.4662169,0.647552,0.663247667,0.489150142,0.346709111,0.618458333,0.617556667,0.321254969,0.478257143,0.782818131,0.661912391,0.728096667,0.339894364,0.384560045
36,0.507779524,0.724093333,0.487282366,0.354969211,0.632150531,0.622850536,0.710164615,0.526473229,0.526473229,0.541676606,0.576769669,0.658650999,0.538208038,0.550736141,0.70793,0.692663667,0.516504036,0.457124706,0.64546,0.656405333,0.400736306,0.573372679,0.817250165,0.718604275,0.766745,0.426517312,0.447959726
37,0.598078571,0.711626667,0.550372258,0.387417895,0.644802528,0.590895833,0.674487692,0.538118026,0.538118026,0.543859422,0.550822856,0.67162635,0.597494669,0.547897204,0.683378,0.650067167,0.497646405,0.51422078,0.669895833,0.665894667,0.442622701,0.668107679,0.79453056,0.720920507,0.760778333,0.522280193,0.520394452
