Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AM,elec_BR_AP,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MG,elec_BR_MS,elec_BR_MT,elec_BR_PA,elec_BR_PB,elec_BR_PE,elec_BR_PI,elec_BR_PR,elec_BR_RJ,elec_BR_RN,elec_BR_RO,elec_BR_RR,elec_BR_RS,elec_BR_SC,elec_BR_SE,elec_BR_SP,elec_BR_TO
1,126.66093800249315,436.76156668922374,864.9982474125344,125.91013852443379,2344.8740444972605,1543.709636575936,515.981576129251,1636.8434370429225,1631.944947891781,958.434629313927,7318.875799869862,1053.7307543530592,1627.7726279892693,1460.4655673358445,579.162832940137,1378.4810014421919,538.8486215821918,3574.161081875342,4129.425724771097,632.1284366388128,369.28480588310504,128.1040132638356,3791.936004455708,3043.872918135388,356.25210498547943,14364.513326517808,267.22008855776255
2,115.09736994849314,412.57928544922373,822.5207731595343,110.98812503943378,2233.38530351726,1431.8214295159362,500.64666149425113,1575.6976885429222,1531.297412291781,895.1324548739269,7077.180141669864,987.6392427430594,1573.2083940892692,1398.2710085758447,533.677358040137,1294.8270214721917,501.1585289821918,3463.7800801753424,3963.590187681096,588.5526785288129,335.40691880310504,114.15198434283562,3614.7544743557073,2932.592067235388,333.34005799547947,13738.279525317808,245.29974902776257
3,102.88058958849314,383.71726322922376,754.8971226655343,96.02554596043379,2096.70089698726,1310.721292865936,452.2029735602511,1482.3790976429225,1426.4750298917809,842.5157195839269,6722.357794469863,915.6929625630594,1511.4073955892693,1328.4547158958446,488.63134812013703,1188.119188892192,463.3468129821918,3257.3521554753424,3626.9817131610957,540.8108046588128,299.91731535310504,100.37939466583562,3388.278437455708,2745.358149335388,308.35879491547945,12609.388167217807,225.44786339776255
4,93.93725960049315,357.6435207992238,691.0106321325343,85.30853781443379,1965.3323727172603,1212.253827015936,409.1484009452511,1390.5323859429225,1333.7531618917808,790.727498743927,6310.297015369862,853.6650303930594,1457.9032664892693,1242.9852868958446,452.097017940137,1095.280498412192,435.7478924821918,3042.971334275342,3314.6832946610957,501.3081271588128,271.99242105310503,90.62237979683562,3181.3393318557073,2552.818219635388,286.5382201154795,11508.89888631781,210.33883538776254
5,91.61907877449315,364.8782611692238,708.5298522285343,82.2174906364338,2017.0394635472605,1213.520979365936,408.8179440552512,1426.3346761429225,1359.5910255917809,819.2208201239268,6608.1603607698635,862.3085767330595,1465.1106758892695,1315.4997377858447,452.820128670137,1107.4189035121917,428.5030118821918,3137.3340197753428,3368.658260821096,503.79811161881275,270.03847087310504,87.5513273798356,3233.9868691557076,2634.470836635388,291.2032218854795,11868.220186217808,209.04387094776254
6,90.29505446849315,364.01971076922376,706.8696898655344,80.61440844543378,2017.5120317372603,1205.0643647359361,405.96753595625114,1426.6699387429223,1355.736766091781,819.5490306039269,6635.942066469863,859.1767132830594,1461.9936975892695,1322.3438715158445,449.45197434013704,1101.2051639421918,423.9609105821918,3140.403772075342,3359.558240541096,500.7844112088128,267.35277690310505,85.93824691083563,3229.745445555707,2636.891448935388,290.3312987654795,11864.247539817807,207.34179715776256
7,92.75694127749314,367.90595722922376,714.8787693875344,83.3644756254338,2036.5362885172603,1225.134738515936,413.21131152625117,1437.4729526429226,1373.651738491781,825.8776411639269,6660.581280969863,871.7846818130595,1471.3845735892694,1326.0775729658446,457.598489560137,1118.2105017321917,431.0631538821918,3162.1913874753423,3401.7200216910956,508.7027699988128,273.77382555310504,88.60832904183562,3261.6523606557075,2656.4555524353877,294.2882598754795,12004.58483691781,211.35427973776257
8,96.55429575749315,366.8995140292238,728.2049449185344,88.51560223643379,2045.0580270672606,1259.101324955936,424.6400778092511,1447.2746146429224,1389.2736681917809,818.5023965339269,6622.893156669862,890.1683562930594,1482.6082105892694,1306.9712820258446,465.42401910013706,1136.279116572192,440.87098478219184,3193.5152444753426,3486.273921211096,520.5072253888128,282.539138313105,92.98948082483561,3313.020477955708,2681.4748820353884,297.3325130954795,12214.805680217807,215.76251333776256
9,137.88252333949313,482.8403100492238,1017.1855483245342,138.2461630214338,2621.90256269726,1707.421100575936,627.3583739202511,1856.7071453429226,1797.878823191781,1030.773518233927,8381.270046169862,1169.2285100430593,1719.9750452892692,1656.2617638958445,627.1709095801369,1549.056529402192,565.7162049821918,4150.569285575342,4936.974571261096,698.7515124288128,409.2073275731051,137.9900641508356,4235.726395555707,3534.734722735388,394.2591568354795,17212.21834321781,282.8180942277626
10,129.40866222649313,479.31413495922374,994.4860641615343,128.0264229134338,2629.87870064726,1658.348360985936,575.8415568722511,1847.5451330429225,1801.695095591781,1068.5444006239268,8594.048541769862,1151.4590689930592,1702.7681991892694,1736.6860397558448,613.440208950137,1507.9263658721918,541.9382392821918,4134.0593006753425,4719.629386731095,681.5065521688128,391.413647023105,128.60033157483562,4198.150040655708,3518.116047235388,391.08822873547945,16861.812514317808,276.4802490677626
