Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
1,34.27,83.39,37.53,4.535,38.68,51.77,83.39
2,34.27,83.39,37.53,4.535,38.68,51.77,83.39
3,34.27,83.39,37.53,4.535,38.68,51.77,83.39
4,34.27,83.39,37.53,4.535,38.68,51.77,83.39
5,34.27,83.39,37.53,4.535,38.68,51.77,83.39
6,34.27,83.39,37.53,4.535,38.68,51.77,83.39
7,34.27,83.39,37.53,4.535,38.68,51.77,83.39
8,34.27,83.39,37.53,4.535,38.68,51.77,83.39
9,34.27,83.39,37.53,4.535,38.68,51.77,83.39
10,34.27,83.39,37.53,4.535,38.68,51.77,83.39
11,34.27,83.39,37.53,4.535,38.68,51.77,83.39
12,34.27,83.39,37.53,4.535,38.68,51.77,83.39
13,34.27,83.39,37.53,4.535,38.68,51.77,83.39
14,34.27,83.39,37.53,4.535,38.68,51.77,83.39
15,34.27,83.39,37.53,4.535,38.68,51.77,83.39
16,34.27,83.39,37.53,4.535,38.68,51.77,83.39
17,34.27,83.39,37.53,4.535,38.68,51.77,83.39
18,34.27,83.39,37.53,4.535,38.68,51.77,83.39
19,34.27,83.39,37.53,4.535,38.68,51.77,83.39
20,34.27,83.39,37.53,4.535,38.68,51.77,83.39
21,34.27,83.39,37.53,4.535,38.68,51.77,83.39
22,34.27,83.39,37.53,4.535,38.68,51.77,83.39
23,34.27,83.39,37.53,4.535,38.68,51.77,83.39
24,34.27,83.39,37.53,4.535,38.68,51.77,83.39
25,34.27,83.39,37.53,4.535,38.68,51.77,83.39
26,34.27,83.39,37.53,4.535,38.68,51.77,83.39
27,34.27,83.39,37.53,4.535,38.68,51.77,83.39
28,34.27,83.39,37.53,4.535,38.68,51.77,83.39
29,34.27,83.39,37.53,4.535,38.68,51.77,83.39
30,34.27,83.39,37.53,4.535,38.68,51.77,83.39
31,34.27,83.39,37.53,4.535,38.68,51.77,83.39
32,34.27,83.39,37.53,4.535,38.68,51.77,83.39
33,34.27,83.39,37.53,4.535,38.68,51.77,83.39
34,34.27,83.39,37.53,4.535,38.68,51.77,83.39
35,34.27,83.39,37.53,4.535,38.68,51.77,83.39
36,34.27,83.39,37.53,4.535,38.68,51.77,83.39
37,34.27,83.39,37.53,4.535,38.68,51.77,83.39
38,34.27,83.39,37.53,4.535,38.68,51.77,83.39
39,34.27,83.39,37.53,4.535,38.68,51.77,83.39
40,34.27,83.39,37.53,4.535,38.68,51.77,83.39
41,34.27,83.39,37.53,4.535,38.68,51.77,83.39
42,34.27,83.39,37.53,4.535,38.68,51.77,83.39
43,34.27,83.39,37.53,4.535,38.68,51.77,83.39
44,34.27,83.39,37.53,4.535,38.68,51.77,83.39
45,34.27,83.39,37.53,4.535,38.68,51.77,83.39
46,34.27,83.39,37.53,4.535,38.68,51.77,83.39
47,34.27,83.39,37.53,4.535,38.68,51.77,83.39
48,34.27,83.39,37.53,4.535,38.68,51.77,83.39
49,34.27,83.39,37.53,4.535,38.68,51.77,83.39
50,34.27,83.39,37.53,4.535,38.68,51.77,83.39
51,34.27,83.39,37.53,4.535,38.68,51.77,83.39
52,34.27,83.39,37.53,4.535,38.68,51.77,83.39
53,34.27,83.39,37.53,4.535,38.68,51.77,83.39
54,34.27,83.39,37.53,4.535,38.68,51.77,83.39
55,34.27,83.39,37.53,4.535,38.68,51.77,83.39
56,34.27,83.39,37.53,4.535,38.68,51.77,83.39
57,34.27,83.39,37.53,4.535,38.68,51.77,83.39
58,34.27,83.39,37.53,4.535,38.68,51.77,83.39
59,34.27,83.39,37.53,4.535,38.68,51.77,83.39
60,34.27,83.39,37.53,4.535,38.68,51.77,83.39
61,34.27,83.39,37.53,4.535,38.68,51.77,83.39
62,34.27,83.39,37.53,4.535,38.68,51.77,83.39
63,34.27,83.39,37.53,4.535,38.68,51.77,83.39
64,34.27,83.39,37.53,4.535,38.68,51.77,83.39
65,34.27,83.39,37.53,4.535,38.68,51.77,83.39
66,34.27,83.39,37.53,4.535,38.68,51.77,83.39
67,34.27,83.39,37.53,4.535,38.68,51.77,83.39
68,34.27,83.39,37.53,4.535,38.68,51.77,83.39
69,34.27,83.39,37.53,4.535,38.68,51.77,83.39
70,34.27,83.39,37.53,4.535,38.68,51.77,83.39
71,34.27,83.39,37.53,4.535,38.68,51.77,83.39
72,34.27,83.39,37.53,4.535,38.68,51.77,83.39
73,34.27,83.39,37.53,4.535,38.68,51.77,83.39
74,34.27,83.39,37.53,4.535,38.68,51.77,83.39
75,34.27,83.39,37.53,4.535,38.68,51.77,83.39
76,34.27,83.39,37.53,4.535,38.68,51.77,83.39
77,34.27,83.39,37.53,4.535,38.68,51.77,83.39
78,34.27,83.39,37.53,4.535,38.68,51.77,83.39
79,34.27,83.39,37.53,4.535,38.68,51.77,83.39
80,34.27,83.39,37.53,4.535,38.68,51.77,83.39
81,34.27,83.39,37.53,4.535,38.68,51.77,83.39
82,34.27,83.39,37.53,4.535,38.68,51.77,83.39
83,34.27,83.39,37.53,4.535,38.68,51.77,83.39
84,34.27,83.39,37.53,4.535,38.68,51.77,83.39
