Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
1,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
2,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
3,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
4,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
5,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
6,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
7,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
8,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
9,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
10,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
11,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
12,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
13,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
14,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
15,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
16,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
17,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
18,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
19,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
20,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
21,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
22,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
23,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
24,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
25,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
26,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
27,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
28,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
29,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
30,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
31,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
32,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
33,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
34,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
35,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
36,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
37,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
38,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
39,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
40,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
41,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
42,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
43,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
44,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
45,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
46,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
47,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
48,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
49,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
50,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
51,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
52,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
53,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
54,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
55,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
56,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
57,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
58,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
59,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
60,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
61,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
62,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
63,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
64,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
65,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
66,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
67,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
68,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
69,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
70,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
71,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
72,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
73,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
74,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
75,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
76,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
77,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
78,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
79,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
80,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
81,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
82,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
83,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
84,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
85,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
86,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
87,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
88,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
89,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
90,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
91,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
92,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
93,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
94,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
95,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
96,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
97,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
98,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
99,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
100,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
101,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
102,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
103,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
104,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
105,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
106,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
107,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
108,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
109,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
110,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
111,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
112,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
113,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
114,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
115,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
116,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
117,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
118,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
119,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
120,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
121,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
122,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
123,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
124,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
125,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
126,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
127,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
128,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
129,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
130,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
131,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
132,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
133,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
134,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
135,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
136,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
137,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
138,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
139,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
140,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
141,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
142,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
143,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
144,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
145,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
146,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
147,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
148,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
149,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
150,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
151,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
152,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
153,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
154,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
155,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
156,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
157,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
158,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
159,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
160,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
161,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
162,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
163,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
164,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
165,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
166,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
167,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
168,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
169,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
170,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
171,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
172,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
173,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
174,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
175,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
176,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
177,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
178,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
179,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
180,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
181,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
182,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
183,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
184,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
185,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
186,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
187,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
188,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
189,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
190,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
191,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
192,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
193,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
194,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
195,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
196,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
197,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
198,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
199,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
200,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
201,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
202,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
203,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
204,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
205,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
206,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
207,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
208,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
209,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
210,26.10,22.32,8.98,17.97,12.3,24.46,35.99,59.37
