Type,id,co2_sink,transforms--emission_rate,transforms--conversion_rate,transforms--co2_content,transforms--capture_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--end_vertex
GeneralFuelsEndUse,BR_Ammonia_Use,co2_sink,0,1,0,0,Ammonia,TRUE,FALSE,nh3_BR,Ammonia,TRUE,FALSE,nh3_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_GreenDiesel_Use,co2_sink,0.25,1,0,0,GreenDiesel,TRUE,FALSE,greendiesel_BR,GreenDiesel,TRUE,FALSE,greendiesel_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_Gasoline_Use,co2_sink,0.24,1,0,0,Gasoline,TRUE,FALSE,gasoline_BR,Gasoline,TRUE,FALSE,gasoline_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_EthanolEndUse,co2_sink,0.232,1,0,0,Ethanol,TRUE,FALSE,ethanol_BR,Ethanol,TRUE,FALSE,ethanol_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_BioDiesel_Use,co2_sink,0.253,1,0,0,BioDiesel,TRUE,FALSE,biodiesel_BR,BioDiesel,TRUE,FALSE,biodiesel_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,Residue_not_used_N,co2_sink,1.558,1,0,0,Residue,TRUE,FALSE,residue_N,Residue,TRUE,FALSE,residue_disposal_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,SAF_mandate,co2_sink,0.258,1,0,0,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,JetFuel_SAF,TRUE,FALSE,SAF_mandate_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_JetFuel_use_SAF,co2_sink,0.258,1,0,0,JetFuel_SAF,TRUE,FALSE,SAF_mandate_demand_BR,JetFuel,TRUE,FALSE,jetfuel_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_JetFuel_use_fossil,co2_sink,0.258,1,0,0,JetFuel_Fossil,TRUE,FALSE,jetfuel_fossil_BR,JetFuel,TRUE,FALSE,jetfuel_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
GeneralFuelsEndUse,BR_JetFuel_use_fossil,co2_sink,0.258,1,0,0,JetFuel_Fossil,TRUE,FALSE,jetfuel_fossil_BR,JetFuel_Fossil,TRUE,FALSE,SAF_fossil_mandate_demand_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,co2_captured_N
