time_index,wind_0_MW,wind_0_N,wind_0_NE,wind_0_S,wind_0_SE,wind_1_MW,wind_1_N,wind_1_NE,wind_1_S,wind_1_SE,wind_2_MW,wind_2_N,wind_2_NE,wind_2_SE,solar_pv_0_MW,solar_pv_0_N,solar_pv_0_NE,solar_pv_0_SE,solar_pv_1_MW,solar_pv_1_N,solar_pv_1_NE,solar_pv_1_S,solar_pv_1_SE,solar_pv_2_MW,solar_pv_2_N,solar_pv_2_NE,solar_pv_2_S,solar_pv_2_SE
1,0.062005757,0.075648382,0.280654267,0.150358528,0.118773617,0.064607532,0.046219562,0.222214026,0.190903564,0.101351397,0.016148412,0.028125446,0.077545773,0.090647619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.071677372,0.073810523,0.26709576,0.174858515,0.104158303,0.069607572,0.049984486,0.245405318,0.234886733,0.110572673,0.015960741,0.0346167,0.078424879,0.095383023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0.077781006,0.075166256,0.234065838,0.188919547,0.088149784,0.071617771,0.052234513,0.260285401,0.266426935,0.108744224,0.021604048,0.038021397,0.081924275,0.102654244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.073199552,0.068763876,0.210081426,0.231285796,0.08074326,0.072524808,0.044549152,0.247963261,0.285729672,0.104579538,0.02867933,0.037149434,0.07619849,0.132545756,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.067254516,0.060882569,0.186396677,0.280598688,0.079503015,0.069463056,0.041708772,0.222307643,0.285268315,0.098579541,0.030445888,0.037086613,0.059883575,0.181148654,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.062839028,0.045758725,0.164878793,0.318005321,0.074716049,0.065431863,0.038417321,0.200135596,0.297180114,0.092017931,0.025277466,0.037195384,0.048111353,0.178165631,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.06390202,0.032797421,0.146571057,0.327721019,0.069033214,0.06287092,0.039388124,0.180757926,0.320065114,0.084393443,0.021688699,0.037255425,0.040559662,0.155075776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.063423006,0.02530429,0.131876265,0.332104445,0.062194456,0.05921763,0.040896368,0.163651941,0.328928724,0.076848089,0.02410108,0.036063419,0.032012742,0.133635611,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.062019274,0.020470321,0.125296281,0.32955365,0.05709095,0.05791677,0.041489362,0.148510932,0.336139484,0.06687215,0.028993645,0.033862823,0.031200845,0.126424017,0,0,2.50E-06,0,0,0,0.003210207,0,1.94E-05,0,0,0.066399786,0,0.063398181
10,0.060483629,0.015374068,0.128809635,0.340163836,0.058908588,0.061489356,0.046127372,0.133191708,0.31408715,0.070358793,0.034392819,0.031943214,0.026339614,0.149814493,0.256109914,0.120287027,0.324595833,0.021015,0.17305012,0.132925922,0.343170452,0.028126256,0.413117588,0.195376024,0.134413795,0.321862791,0.179536073,0.446484122
11,0.048022031,0.012279455,0.171048842,0.212123783,0.045959837,0.057769427,0.074501308,0.137285139,0.215117583,0.061463356,0.045431162,0.040304179,0.031077174,0.107377226,0.474674622,0.287924189,0.458013333,0.616775,0.384628602,0.263890786,0.54555361,0.063202897,0.616556018,0.409708663,0.290649341,0.481459455,0.294360782,0.638008176
12,0.029519959,0.011397744,0.196054795,0.256166927,0.055271775,0.032920592,0.045270011,0.142845545,0.244281135,0.066255943,0.01468819,0.036836886,0.033976993,0.108713872,0.601330835,0.405762816,0.516181667,0.702795,0.500523979,0.350408082,0.646535437,0.137044449,0.704807121,0.529549889,0.370383694,0.566813098,0.416329314,0.713479364
13,0.030055983,0.023612623,0.194620969,0.321669484,0.073555907,0.026825122,0.066306531,0.123985314,0.294890151,0.074657813,0.006005924,0.029432959,0.0333093,0.129806211,0.641583307,0.508930798,0.5718775,0.750735,0.566290874,0.495480639,0.708413448,0.216038051,0.738671891,0.59530785,0.462234219,0.631339204,0.452092485,0.747600942
14,0.031679792,0.036894093,0.169432537,0.393493231,0.085221356,0.025031086,0.081240568,0.095978666,0.34604914,0.073348535,0.005376992,0.030753173,0.039375785,0.110889441,0.691241537,0.518923562,0.509855833,0.6585,0.628745599,0.512849817,0.691157106,0.288168923,0.770488424,0.668602449,0.486034427,0.658199211,0.45024691,0.785625374
15,0.029195675,0.037722701,0.141181735,0.392439204,0.082963493,0.021660483,0.064779851,0.066082681,0.337803917,0.063500559,0.00766547,0.032016897,0.034882548,0.065497308,0.722690502,0.569209201,0.572280833,0.70328,0.673800208,0.638889104,0.686932498,0.37472091,0.783578061,0.687122883,0.52816043,0.673088469,0.484703495,0.776713872
16,0.020573777,0.031239882,0.12579469,0.358091074,0.079873291,0.017818891,0.038422977,0.04545759,0.306761241,0.056482648,0.009270675,0.028995548,0.030292995,0.022241822,0.673361722,0.577430947,0.607993333,0.76754,0.684683795,0.576074953,0.672073291,0.409272577,0.758005182,0.705893169,0.524097726,0.634427902,0.42828254,0.777534339
17,0.014346374,0.024335423,0.124877457,0.296988126,0.082206203,0.018941564,0.020213601,0.035475514,0.271551957,0.054832737,0.007240167,0.027509927,0.019542029,0.00226087,0.623898238,0.549327094,0.588388333,0.646465,0.636983127,0.611606226,0.681385336,0.398304423,0.703028927,0.673781803,0.541104975,0.639702925,0.356938057,0.754188059
