Time_Index;elec_demand_SE;elec_demand_S;elec_demand_NE;elec_demand_N;Demand_Zero
1;26323.454;9453.589;18700.691;8931.042;0
2;25982.383;9982.251;18963.333;8912.802;0
3;25732.853;9495.311;19584.403;8904.321;0
4;25039.31;9348.909;19429.359;8921.163;0
5;24136.431;8868.081;19890.302;8870.022;0
6;23049.631;8761.817;19975.317;8012.196;0
7;23735.478;9048.635;19359.239;6615.419;0
8;26200.617;8220.323;18128.964;6019.046;0
9;28376.586;8700.85;15377.516;5858.46;0
10;30546.923;8892.295;13405.983;6199.42;0
11;32070.343;9573.867;12378.885;6469.247;0
12;32177.293;10491.446;12409.417;6544.904;0
13;31601.02;10542.713;12405.463;6515.063;0
14;30929.776;10286.216;12560.866;6388.669;0
15;29920.58;10338.6;13801.76;6236.008;0
16;29518.017;10692.714;15480.648;6015.693;0
17;29666.25;11800.416;16267.465;6104.681;0
18;30565.471;12415.455;15532.993;7378.392;0
19;31197.399;12207.755;17324.268;9249.456;0
20;32792.722;12200.639;18920.307;11149.27;0
21;33029.905;12067.564;18997.954;11976.212;0
22;33230.84;11415.076;18826.692;12485.505;0
23;32624.863;10724.002;18834.987;12540.088;0
24;31592.685;8949.974;19226.969;12359.047;0
25;31673.156;7576.025;18881.698;10968.46;0
26;30928.683;7706.396;18844.726;8835.026;0
27;30413.52;7277.93;19350.842;7490.259;0
28;29799.276;6959.216;19407.571;7161.024;0
29;29608.461;7163.177;18874.493;7154.731;0
30;29717.578;7129.423;19137.792;6740.257;0
31;30356.061;7730.267;20681.372;5920.805;0
32;32165.498;8341.032;22938.395;5908.922;0
33;34994.338;8975.281;22957.123;6075.51;0
34;37343.283;10281.681;20952.551;6487.957;0
35;39646.61;11093.351;20526.791;6677.378;0
36;41442.117;11935.379;19515.075;6683.684;0
37;42103.482;12174.346;18429.583;6588.686;0
38;42483.329;12921.93;18467.316;6812.042;0
39;43391.687;11956.645;19099.051;7936.864;0
40;43270.338;11379.194;19083.976;8881.03;0
41;42681.132;11249.604;18515.623;10224.427;0
42;38940.357;11980.909;17750.182;12348.204;0
43;37664.041;11755.012;18234.329;13526.352;0
44;37942.494;11523.999;20620.647;15322.167;0
45;37503.666;11343.942;21461.309;15813.303;0
46;37144.951;11313.532;21750.145;15609.695;0
47;36004.183;11350.882;21108.541;15154.749;0
48;34236.497;10328.17;20499.178;15049.512;0
49;31246.013;9490.773;20465.626;14955.072;0
50;29813.586;8474.227;20884.836;13794.227;0
51;29513.441;7932.575;21245.268;11866.562;0
52;29405.679;7718.236;21107.316;10922.351;0
53;29338.782;7730.061;20670.737;10760.36;0
54;29626.446;8315.508;20330.803;9619.472;0
55;31814.62;8828.579;20879.991;7489.261;0
56;33964.495;9736.863;22891.042;6174.975;0
57;36177.757;10984.272;23471.731;6009.854;0
58;38535.248;11616.599;22238.878;6298.77;0
59;40377.085;12569.237;20974.046;6532.908;0
60;42032.374;12963.405;19807.308;6579.128;0
61;42938.543;12828.849;18834.222;6522.1;0
62;43804.051;12555.626;18958.396;7541.538;0
63;43482.331;14101.623;18511.015;8491.221;0
64;42891.226;14445.41;17489.237;9466.621;0
65;41510.5;14982.093;16495.417;10729.493;0
66;40020.96;14434.412;16401.494;11537.554;0
67;38684.093;13174.307;17474.836;12941.734;0
68;39363.524;12032.746;19467.003;14680.639;0
69;40006.336;11669.95;19704.579;15301.884;0
70;39822.542;11355.434;19816.702;15129.176;0
71;39076.187;11046.712;19647.615;14872.227;0
72;37149.987;10279.067;19437.624;14683.077;0
73;34163.539;9857.167;18829.074;14942.29;0
74;32942.979;9730.758;17653.714;13974.455;0
75;31974.129;9675.85;17045.75;13052.046;0
76;31415.024;9541.305;16773.921;12384.513;0
77;31313.208;9602.36;16186.57;12031.227;0
78;31306.835;9722.058;15034.521;11607.96;0
79;31671.122;9363.236;15975.828;10558.022;0
80;33833.661;8910.304;19055.399;7708.86;0
81;35734.172;9815.648;19728.583;5874.835;0
82;36949.464;11274.931;18977.272;6083.547;0
83;37649.643;11883.916;18961.821;6446.005;0
84;37910.232;12440;19024.364;6304.024;0
85;37609.524;12661.86;18631.455;6305.829;0
86;38373.783;12922.352;18268.604;6256.794;0
87;38729.983;12557.553;18379.344;6400.079;0
88;38878.557;12045.034;17454.947;7040.069;0
89;38366.963;11622.685;17074.377;8524.455;0
90;37731.98;11322.887;17673.318;10538.176;0
91;37493.146;12959.973;17769.456;12454.918;0
92;37691.014;13287.327;19376.394;13978.449;0
93;38712.667;12877.321;18897.495;14192.063;0
94;38414.121;12489.822;17921.384;14027.475;0
95;37074.31;12455.536;17451.079;13100.568;0
96;35889.725;11892.922;16624.604;13016.211;0
97;34451.586;11385.833;15580.48;12712.101;0
98;33738.743;10801.041;14427.247;12010.172;0
99;32992.019;9689.402;14410.538;11633.496;0
100;32684.079;8617.848;14580.431;11346.212;0
101;32780.521;8654.019;13975.297;10684.927;0
102;32517.433;8555.447;14119.846;8860.912;0
103;31012.944;8875.94;16179.533;6864.483;0
104;30719.976;9081.497;17348.442;5624.487;0
105;32396.441;8984.582;16241.109;5723.378;0
106;34320.656;9185.953;14619.205;5954.246;0
107;35683.776;10233.1;13703.451;6165.213;0
108;36602.103;10892.058;13873.017;6209.608;0
109;36654.493;10965.506;13995.386;6109.347;0
110;35855.305;10506.621;14571.591;6156.661;0
111;35298.362;9960.808;15300.485;6159.753;0
112;35474.839;9068.148;16622.952;6317.295;0
113;36701.498;9856.928;15788.082;6879.27;0
114;36692.639;11779.761;15381.765;8524.758;0
115;36284.444;12509.497;15966.102;11878.586;0
116;37339.291;12096.915;17232.809;13723.753;0
117;38168.03;11988.9;16923.353;14770.71;0
118;38121.41;12098.568;16276.913;14738.031;0
119;37943.168;12220.602;15546.098;14337.144;0
120;37456.993;12141.139;14917.99;12732.263;0
121;35819.859;12116.971;13978.181;11888.261;0
122;34949.953;12249.686;12893.651;10947.292;0
123;34220.254;12036.365;12637.767;10114.004;0
124;33735.571;12529.021;12479.729;8941.303;0
125;33634.951;12577.33;12332.457;8851.771;0
126;33779.038;12361.709;12322.838;8999.766;0
127;35277.465;12833.648;13379.606;8321.369;0
128;38957.592;12068.809;17065.977;6951.624;0
129;41287.568;12858.209;19597.138;6250.213;0
130;43292.57;13236.386;20171.068;6128.65;0
131;45528.009;13643.984;20419.194;6317.73;0
132;46060.126;14286.504;20424.696;6357.512;0
133;45260.663;14364.549;19813.62;6427.511;0
134;45571.069;15895.169;19016.789;7276.039;0
135;45275.503;16420.499;18543.299;9031.001;0
136;43834.723;17741.484;17260.818;10457.927;0
137;44664.444;16500.433;15874.108;11903.827;0
138;43942.108;14839.061;14778.84;12016.425;0
139;41723.256;15006.092;14906.603;13368.259;0
140;43076.979;15013.978;14956.139;15721.953;0
141;44062.357;15106.688;14687.826;16424.25;0
142;44439.374;15173.164;13369.547;17035.488;0
143;43396.971;14953.508;12374.707;16781.318;0
144;42167.458;14798.092;11263.869;15081.782;0
145;39781.753;14608.877;10330.927;14098.707;0
146;38208.397;13899.536;9856.12;13367.862;0
147;37375.435;12481.127;9020.534;13508.775;0
148;37346.05;11742.604;8592.401;13405.492;0
149;37033.544;11560.082;9018.318;13002.793;0
150;36827.756;11632.019;9690.094;12282.796;0
151;38018.17;11790.683;10900.859;11644.051;0
152;39899.092;12704.722;13679.438;11585.741;0
153;42708.037;13167.958;16125.021;10908.407;0
154;44799.847;12769.631;17360.9;10760.726;0
155;46010.797;13314.119;17652.265;10533.363;0
156;46383.386;13842.732;17706.136;10233.06;0
157;45152.783;13805.549;17809.064;10198.955;0
158;45651.727;14360.931;17836.381;11329.855;0
159;45304.435;16226.153;17441.711;11452.16;0
160;44738.647;16815.701;17444.763;11114.494;0
161;45075.287;16503.64;16318.546;11881.11;0
162;43153.881;14407.004;16081.851;12636.673;0
163;41177.294;13477.163;16479.228;13597.728;0
164;41811.737;13410.566;16544.11;16359.702;0
165;43727.658;13867.601;15310.952;16725.171;0
166;44092.61;14518.022;14443.605;16622.66;0
167;43148.906;15117.123;13177.374;16033.117;0
168;41606.084;15056.616;11267.69;15585.601;0
169;40333.028;14290.261;10137.65;14469.32;0
170;39715.79;13114.585;9266.127;13777.428;0
171;38732.356;11695.657;9418.861;13138.544;0
172;37533.301;11639.452;9445.36;12981.095;0
173;37289.733;12037.614;9109.842;12686.583;0
174;37506.223;12523.56;8963.396;12338.429;0
175;38968.272;13502.274;9590.324;11561.336;0
176;40375.111;14304.983;12249.247;11714.206;0
177;41972.833;15268.491;13855.918;12264.987;0
178;43981.908;14967.926;15021.843;11805.62;0
179;45008.779;15428.398;15552.964;12301.133;0
180;45642.411;15396.542;16304.529;12250.75;0
181;45725.379;14895.756;16286.309;11764.962;0
182;46703.364;15898.696;15820.037;12787.55;0
183;48203.866;15801.117;15532.47;13296.519;0
184;48444.199;15342.768;15006.517;13632.916;0
185;48195.018;15562.213;13688.536;13631.973;0
186;45624.81;14477.629;13225.83;13933.6;0
187;44229.907;13297.386;13838.944;15682.305;0
188;44405.196;13692.37;14660.204;17352.458;0
189;44625.074;14353.641;14264.215;17469.849;0
190;45368.323;14391.667;13271.977;17544.178;0
191;45025.818;14388.437;11393.658;17321.7;0
192;42464.691;14412.424;10202.97;16951.323;0
193;39826.746;14307.223;9276.546;15269.394;0
194;38266.977;13934.532;8954.313;13957.896;0
195;36908.494;13277.688;9142.89;12978.415;0
196;35879.866;12720.637;9690.572;12555.867;0
197;35189.898;12255.941;10474.659;12646.662;0
198;35119.515;11873.183;10753.765;13152.093;0
199;36512.546;12221.934;11214.469;13317.961;0
200;38437.487;12278.19;14257.082;13623.603;0
201;40525.928;13326.335;15979.416;13573.866;0
202;42404.07;13643.672;16663.562;13313.542;0
203;44900.595;13906.809;17432.609;11781.559;0
204;45372.877;13439.862;18892.699;11028.262;0
205;45546.879;12366.026;19088.412;10274.121;0
206;45781.729;14508.578;18076.679;11308.142;0
207;45554.679;15537.342;17826.473;13122.969;0
208;44706.146;15023.033;17900.264;13934.914;0
209;45055.06;14595.242;16677.342;13767.349;0
210;43947.795;12975.92;15846.036;13797.248;0
211;43002.391;12583.94;14788.556;15603.588;0
212;44506.041;13819.505;14223.101;16786.709;0
213;45125.574;13745.628;13621.398;17780.443;0
214;45174.45;14275.422;12724.925;17746.855;0
215;43692.067;14424.194;11741.02;17481.161;0
216;42674.324;14019.635;10465.012;16209.932;0
217;40305.54;14071.391;9156.797;14965.045;0
218;38738.637;12754.813;8378.52;14162.712;0
219;37459.684;11855.197;7785.824;14141.325;0
220;36674.093;12000.307;7330.338;14068.718;0
221;36527.749;12169.693;7115.037;14010.527;0
222;36529.193;12264.7;7205.349;13891.754;0
223;37896.791;12111.802;8771.86;13482.531;0
224;40393.191;12699.632;11406.614;13454.458;0
225;42750.97;13251.919;14068.432;12924.93;0
226;43321.075;13875.329;16377.23;11384.59;0
227;43593.434;15173.614;18317.441;11103.768;0
228;44292.231;15617.613;18703.419;10863.874;0
229;43547.674;15145.387;18846.711;10589.762;0
230;44477.614;15560.12;18926.913;10869.572;0
231;45026.996;15932.894;18424.129;11304.158;0
232;44453.722;15376.307;18079.495;12711.266;0
233;44637.127;13400.036;16874.139;13759.347;0
234;42809.275;12356.522;15484.318;14954.298;0
235;40804.993;12493.269;15019.78;16918.1;0
236;42898.389;13433.655;13905.599;18544.1;0
237;42967.292;14004.39;12766.305;19474.782;0
238;43143.345;13963.157;11878.212;19431.672;0
239;42667.822;13718.442;11224.561;18238.724;0
240;41599.963;13175.5;10271.305;17285.742;0
