Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hvo_production,transforms--saf_production,transforms--hydrogen_consumption,transforms--electricity_consumption,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--hydrogen_edge--commodity,edges--hydrogen_edge--unidirectional,edges--hydrogen_edge--has_capacity,edges--hydrogen_edge--start_vertex,edges--hvo_edge--commodity,edges--hvo_edge--unidirectional,edges--hvo_edge--has_capacity,edges--hvo_edge--end_vertex,edges--saf_edge--commodity,edges--saf_edge--unidirectional,edges--saf_edge--has_capacity,edges--saf_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
HEFA,BR_N_HEFA_macaw,BR_N,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,macaw_BR_N,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_N,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
HEFA,BR_NE_HEFA_macaw,BR_NE,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,macaw_BR_NE,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_NE,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
HEFA,BR_CW_HEFA_macaw,BR_CW,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,macaw_BR_CW,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_CW,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
HEFA,BR_SE_HEFA_macaw,BR_SE,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,macaw_BR_SE,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_SE,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
HEFA,BR_S_HEFA_macaw,BR_S,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,macaw_BR_S,1,3411.18,272.89,342,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_S,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
HEFA,BR_N_HEFA_soybean,BR_N,Biomass,TRUE,3.303,0.6315,0.04,0.01,1.613,0.7831,0,Soybean,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,soybean_BR_N,1,3246.63,259.73,315,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_N,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
HEFA,BR_NE_HEFA_soybean,BR_NE,Biomass,TRUE,3.303,0.6315,0.04,0.01,1.613,0.7831,0,Soybean,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,soybean_BR_NE,1,3246.63,259.73,315,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_NE,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
HEFA,BR_CW_HEFA_soybean,BR_CW,Biomass,TRUE,3.303,0.6315,0.04,0.01,1.613,0.7831,0,Soybean,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,soybean_BR_CW,1,3246.63,259.73,315,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_CW,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
HEFA,BR_SE_HEFA_soybean,BR_SE,Biomass,TRUE,3.303,0.6315,0.04,0.01,1.613,0.7831,0,Soybean,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,soybean_BR_SE,1,3246.63,259.73,315,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_SE,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
HEFA,BR_S_HEFA_soybean,BR_S,Biomass,TRUE,3.303,0.6315,0.04,0.01,1.613,0.7831,0,Soybean,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,soybean_BR_S,1,3246.63,259.73,315,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_S,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
