Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hydrogen_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--h2_edge--commodity,edges--h2_edge--unidirectional,edges--h2_edge--has_capacity,edges--h2_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSHydrogen,BR_N_residue_H2,BR_N,Biomass,TRUE,2.57,0.1,0,0,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_N,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_N,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSHydrogen,BR_NE_residue_H2,BR_NE,Biomass,TRUE,2.57,0.1,0,0,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_NE,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_NE,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSHydrogen,BR_CW_residue_H2,BR_CW,Biomass,TRUE,2.57,0.1,0,0,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_CW,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_CW,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSHydrogen,BR_SE_residue_H2,BR_SE,Biomass,TRUE,2.57,0.1,0,0,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_SE,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSHydrogen,BR_S_residue_H2,BR_S,Biomass,TRUE,2.57,0.1,0,0,1.558,Residue,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,residue_BR_S,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_S,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
BECCSHydrogen,BR_N_wood_H2,BR_N,Biomass,TRUE,2.67,0.1,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_N,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_N,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSHydrogen,BR_NE_wood_H2,BR_NE,Biomass,TRUE,2.67,0.1,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_NE,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_NE,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSHydrogen,BR_CW_wood_H2,BR_CW,Biomass,TRUE,2.67,0.1,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_CW,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_CW,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSHydrogen,BR_SE_wood_H2,BR_SE,Biomass,TRUE,2.67,0.1,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_SE,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_SE,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSHydrogen,BR_S_wood_H2,BR_S,Biomass,TRUE,2.67,0.1,0,1.558,1.558,Biomass_wood,TRUE,TRUE,TRUE,30,0.1,TRUE,FALSE,TRUE,biomass_wood_BR_S,153.16,10366.92,414.67,32.72,0,system/availability_monthly.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_S,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
