Type,id,location,edges--co2_captured_edge--integer_decisions,edges--co2_captured_edge--can_retire,edges--co2_captured_edge--constraints--CapacityConstraint,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--commodity,edges--co2_captured_edge--can_expand,edges--co2_captured_edge--uc,edges--co2_captured_edge--has_capacity,edges--co2_storage_edge--unidirectional,edges--co2_storage_edge--commodity,edges--co2_storage_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--co2_captured_edge--investment_cost,edges--co2_captured_edge--fixed_om_cost,edges--co2_captured_edge--variable_om_cost,edges--co2_captured_edge--wacc,edges--co2_captured_edge--lifetime,edges--co2_captured_edge--capital_recovery_period,edges--co2_captured_edge--existing_capacity,edges--co2_captured_edge--start_vertex,edges--co2_storage_edge--end_vertex
CO2Injection,BR_N_CO2_Injection,BR_N,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_N,co2_storage_Parecis
CO2Injection,BR_NE1_CO2_Injection,BR_NE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_NE,co2_storage_Potiguar
CO2Injection,BR_NE2_CO2_Injection,BR_NE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_NE,co2_storage_Sergipe_Alagoas
CO2Injection,BR_NE3_CO2_Injection,BR_NE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_NE,co2_storage_Reconcavo
CO2Injection,BR_CW1_CO2_Injection,BR_CW,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_CW,co2_storage_Parecis
CO2Injection,BR_CW2_CO2_Injection,BR_CW,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_CW,co2_storage_Parana
CO2Injection,BR_CW3_CO2_Injection,BR_CW,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_CW,co2_storage_Sao_Francisco
CO2Injection,BR_SE1_CO2_Injection,BR_SE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_SE,co2_storage_Parecis
CO2Injection,BR_SE2_CO2_Injection,BR_SE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_SE,co2_storage_Parana
CO2Injection,BR_SE3_CO2_Injection,BR_SE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_SE,co2_storage_Sao_Francisco
CO2Injection,BR_S_CO2_Injection,BR_SE,FALSE,FALSE,TRUE,TRUE,CO2Captured,TRUE,FALSE,TRUE,TRUE,CO2Captured,FALSE,TRUE,CO2Captured,1000,30,6,0.11,50,20,0,co2_transported_BR_S,co2_storage_Parana
