Type,id,edges--transmission_edge--has_capacity,edges--transmission_edge--commodity,edges--transmission_edge--can_retire,edges--transmission_edge--can_expand,edges--transmission_edge--constraints--CapacityConstraint,edges--transmission_edge--constraints--MaxCapacityConstraint,edges--transmission_edge--start_vertex,edges--transmission_edge--end_vertex,edges--transmission_edge--distance,edges--transmission_edge--loss_fraction,edges--transmission_edge--max_capacity,edges--transmission_edge--existing_capacity,edges--transmission_edge--lifetime,edges--transmission_edge--wacc,edges--transmission_edge--capital_recovery_period,edges--transmission_edge--investment_cost,edges--transmission_edge--variable_om_cost,edges--transmission_edge--fixed_om_cost,Note
TransmissionLink,N_to_NE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_N,elec_NE,1800,0.035371,100000,3100,50,0.08,20,443637.83,1,100,"Inter-regional transmission N↔NE, dist=1800km"
TransmissionLink,NE_to_N_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_NE,elec_N,1800,0.035371,100000,3100,50,0.08,20,443637.83,1,100,"Inter-regional transmission NE↔N, dist=1800km"
TransmissionLink,N_to_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_N,elec_SE,2200,0.043231,100000,4000,50,0.08,20,443637.83,1,100,"Inter-regional transmission N↔SE, dist=2200km"
TransmissionLink,SE_to_N_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SE,elec_N,2200,0.043231,100000,4000,50,0.08,20,443637.83,1,100,"Inter-regional transmission SE↔N, dist=2200km"
TransmissionLink,NE_to_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_NE,elec_SE,1786,0.035096,100000,9911,50,0.08,20,443637.83,1,100,"Inter-regional transmission NE↔SE, dist=1786km"
TransmissionLink,SE_to_NE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SE,elec_NE,1786,0.035096,100000,9911,50,0.08,20,443637.83,1,100,"Inter-regional transmission SE↔NE, dist=1786km"
TransmissionLink,SE_to_S_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SE,elec_S,775,0.015229,100000,11450,50,0.08,20,443637.83,1,100,"Inter-regional transmission SE↔S, dist=775km"
TransmissionLink,S_to_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_S,elec_SE,775,0.015229,100000,11450,50,0.08,20,443637.83,1,100,"Inter-regional transmission S↔SE, dist=775km"
TransmissionLink,SE_to_CW_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_SE,elec_CW,900,0.017686,100000,4000,50,0.08,20,443637.83,1,100,"Inter-regional transmission SE↔CW, dist=900km"
TransmissionLink,CW_to_SE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CW,elec_SE,900,0.017686,100000,4000,50,0.08,20,443637.83,1,100,"Inter-regional transmission CW↔SE, dist=900km"
TransmissionLink,N_to_CW_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_N,elec_CW,1500,0.029476,100000,1500,50,0.08,20,443637.83,1,100,"Inter-regional transmission N↔CW, dist=1500km"
TransmissionLink,CW_to_N_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CW,elec_N,1500,0.029476,100000,1500,50,0.08,20,443637.83,1,100,"Inter-regional transmission CW↔N, dist=1500km"
TransmissionLink,NE_to_CW_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_NE,elec_CW,1000,0.019651,100000,1200,50,0.08,20,443637.83,1,100,"Inter-regional transmission NE↔CW, dist=1000km"
TransmissionLink,CW_to_NE_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CW,elec_NE,1000,0.019651,100000,1200,50,0.08,20,443637.83,1,100,"Inter-regional transmission CW↔NE, dist=1000km"
TransmissionLink,S_to_CW_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_S,elec_CW,850,0.016703,100000,2000,50,0.08,20,443637.83,1,100,"Inter-regional transmission S↔CW, dist=850km"
TransmissionLink,CW_to_S_transmission,TRUE,Electricity,FALSE,TRUE,TRUE,TRUE,elec_CW,elec_S,850,0.016703,100000,2000,50,0.08,20,443637.83,1,100,"Inter-regional transmission CW↔S, dist=850km"
