Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ethanol_production,transforms--bagasse_production,transforms--food_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ethanol_edge--commodity,edges--ethanol_edge--unidirectional,edges--ethanol_edge--has_capacity,edges--ethanol_edge--end_vertex,edges--bagasse_edge--commodity,edges--bagasse_edge--unidirectional,edges--bagasse_edge--has_capacity,edges--bagasse_edge--end_vertex,edges--food_edge--commodity,edges--food_edge--unidirectional,edges--food_edge--has_capacity,edges--food_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSEthanol,BR_N_BECCS_sugarcane_ethanol_large,BR_N,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_N,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_N,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSEthanol,BR_NE_BECCS_sugarcane_ethanol_large,BR_NE,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_NE,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_NE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSEthanol,BR_CW_BECCS_sugarcane_ethanol_large,BR_CW,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_CW,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CW,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSEthanol,BR_SE_BECCS_sugarcane_ethanol_large,BR_SE,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_SE,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSEthanol,BR_S_BECCS_sugarcane_ethanol_large,BR_S,Biomass,TRUE,0.634,0.36,0,0.15,0,1.558,0.8502,Sugarcane,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,sugarcane_BR_S,804.81,1460.58,92.73,1.3,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_S,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
BECCSEthanol,BR_N_BECCS_Lignocellulosic_Ethanol_large,BR_N,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_N,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_N,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_N
BECCSEthanol,BR_NE_BECCS_Lignocellulosic_Ethanol_large,BR_NE,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_NE,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_NE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_NE
BECCSEthanol,BR_CW_BECCS_Lignocellulosic_Ethanol_large,BR_CW,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_CW,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_CW,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_CW,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_CW
BECCSEthanol,BR_SE_BECCS_Lignocellulosic_Ethanol_large,BR_SE,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_SE,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_SE,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_SE
BECCSEthanol,BR_S_BECCS_Lignocellulosic_Ethanol_large,BR_S,Biomass,TRUE,2.02,0,0,0.1679,0,1.558,1.091,Residue,TRUE,TRUE,TRUE,TRUE,30,0.1,FALSE,TRUE,residue_BR_S,804.81,3645.58,145.82,69,0,system/availability_monthly.csv,Availability_One,Ethanol,TRUE,FALSE,ethanol_BR,Bagasse,TRUE,FALSE,bagasse_BR_S,Sugar,TRUE,FALSE,sugar_BR,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_emitted_BR,CO2,TRUE,FALSE,co2_emitted_BR,CO2Captured,TRUE,FALSE,co2_captured_BR_S
