Type,id,location,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_CW_Nuclear_Large,BR_CW,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,204000,0,36,1000.0,0.25,elec_CW,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_CW_Nuclear_Modular,BR_CW,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,216000,0,36,300.0,0.25,elec_CW,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_N_Nuclear_Large,BR_N,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,204000,0,36,1000.0,0.25,elec_N,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_N_Nuclear_Modular,BR_N,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,216000,0,36,300.0,0.25,elec_N,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_NE_Nuclear_Large,BR_NE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,204000,0,36,1000.0,0.25,elec_NE,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_NE_Nuclear_Modular,BR_NE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,216000,0,36,300.0,0.25,elec_NE,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_S_Nuclear_Large,BR_S,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,204000,0,36,1000.0,0.25,elec_S,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_S_Nuclear_Modular,BR_S,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,216000,0,36,300.0,0.25,elec_S,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_SE_Nuclear_Existing,BR_SE,True,False,True,False,True,True,True,Electricity,False,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,245905,2007,36,1003.5,0.25,elec_SE,7.0,0,0.25,0.5,1000,uranium_BR,3.076,0,"from 5-zone model, characteristics assumed to be similar to ""large"""
ThermalPower,BR_SE_Nuclear_Large,BR_SE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,204000,0,36,1000.0,0.25,elec_SE,3.4,11836118,0.25,0.5,1000,uranium_BR,3.076,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
ThermalPower,BR_SE_Nuclear_Modular,BR_SE,True,False,True,False,True,True,True,Electricity,True,False,True,True,Uranium,False,co2_emitted_BR,True,CO2,False,True,Uranium,False,36,50,0.08,20,216000,0,36,300.0,0.25,elec_SE,2.8,12681127,0.25,0.5,1000,uranium_BR,2.691,0,"https://atb.nrel.gov/electricity/2024/nuclear, conservative"
