Type,id,location,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--charcoal_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--lifetime,edges--biomass_edge--wacc,edges--biomass_edge--can_retire,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--charcoal_edge--commodity,edges--charcoal_edge--unidirectional,edges--charcoal_edge--has_capacity,edges--charcoal_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSCharcoal,BR_AC_BECCS_charcoal,BR_AC,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_AC,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AC
BECCSCharcoal,BR_AL_BECCS_charcoal,BR_AL,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_AL,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AL
BECCSCharcoal,BR_AP_BECCS_charcoal,BR_AP,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_AP,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AP
BECCSCharcoal,BR_AM_BECCS_charcoal,BR_AM,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_AM,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_N,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_AM
BECCSCharcoal,BR_BA_BECCS_charcoal,BR_BA,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_BA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_BA
BECCSCharcoal,BR_CE_BECCS_charcoal,BR_CE,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_CE,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_CE
BECCSCharcoal,BR_DF_BECCS_charcoal,BR_DF,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_DF,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_CW,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_DF
BECCSCharcoal,BR_ES_BECCS_charcoal,BR_ES,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_ES,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_SE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_ES
BECCSCharcoal,BR_GO_BECCS_charcoal,BR_GO,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_GO,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_CW,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_GO
BECCSCharcoal,BR_MA_BECCS_charcoal,BR_MA,Biomass,True,2.67,0.01,0,1.833,0.797,Biomass_wood,True,True,True,30,0.1,True,False,True,biomass_wood_BR_MA,0.09,133.69,91.05,0,0,system/availability_monthly.csv,Availability_One,Charcoal,True,False,charcoal_BR,Electricity,True,False,elec_NE,CO2,True,False,co2_emitted_BR,CO2,True,False,co2_emitted_BR,CO2Captured,True,False,co2_captured_BR_MA
