Type,id,location,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_CW_Onshore_Class0,BR_CW,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,513492.178,21072.8,0,823754.79,system/availability_wind_onshore.csv,BR_CW_Onshore_Class0,elec_CW,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CW_Onshore_Class1,BR_CW,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,1120945.812,21072.8,0,957854.41,system/availability_wind_onshore.csv,BR_CW_Onshore_Class1,elec_CW,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CW_Onshore_Class2,BR_CW,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,341940.04,21072.8,0,1072796.93,system/availability_wind_onshore.csv,BR_CW_Onshore_Class2,elec_CW,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_CW_Onshore_Class3,BR_CW,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,543541.941,21072.8,0,1187739.46,system/availability_wind_onshore.csv,BR_CW_Onshore_Class3,elec_CW,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_N_Onshore_Class0,BR_N,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,104623.37299999999,21072.8,0,823754.79,system/availability_wind_onshore.csv,BR_N_Onshore_Class0,elec_N,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_N_Onshore_Class1,BR_N,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,186502.709,21072.8,0,957854.41,system/availability_wind_onshore.csv,BR_N_Onshore_Class1,elec_N,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_N_Onshore_Class2,BR_N,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,383993.48699999996,21072.8,0,1072796.93,system/availability_wind_onshore.csv,BR_N_Onshore_Class2,elec_N,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_N_Onshore_Class3,BR_N,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,392872.784,21072.8,0,1187739.46,system/availability_wind_onshore.csv,BR_N_Onshore_Class3,elec_N,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_NE_Onshore_Class0,BR_NE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,1631260.112,21072.8,0,823754.79,system/availability_wind_onshore.csv,BR_NE_Onshore_Class0,elec_NE,16729.71,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_NE_Onshore_Class1,BR_NE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,960301.232,21072.8,0,957854.4099999999,system/availability_wind_onshore.csv,BR_NE_Onshore_Class1,elec_NE,15760.560000000001,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_NE_Onshore_Class3,BR_NE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,352238.039,21072.8,0,1187739.46,system/availability_wind_onshore.csv,BR_NE_Onshore_Class3,elec_NE,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_S_Onshore_Class0,BR_S,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,510423.845,21072.8,0,823754.79,system/availability_wind_onshore.csv,BR_S_Onshore_Class0,elec_S,3089.98,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_S_Onshore_Class1,BR_S,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,129629.119,21072.8,0,957854.41,system/availability_wind_onshore.csv,BR_S_Onshore_Class1,elec_S,1558.399,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_S_Onshore_Class3,BR_S,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,2138.884,21072.8,0,1187739.46,system/availability_wind_onshore.csv,BR_S_Onshore_Class3,elec_S,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_SE_Onshore_Class0,BR_SE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,420625.309,21072.8,0,823754.79,system/availability_wind_onshore.csv,BR_SE_Onshore_Class0,elec_SE,28.05,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_SE_Onshore_Class1,BR_SE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,235001.24899999998,21072.8,0,957854.41,system/availability_wind_onshore.csv,BR_SE_Onshore_Class1,elec_SE,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
VRE,BR_SE_Onshore_Class3,BR_SE,True,True,True,True,Electricity,True,True,Electricity,25,0.1075,10,102042.942,21072.8,0,1187739.46,system/availability_wind_onshore.csv,BR_SE_Onshore_Class3,elec_SE,0.0,100,https://www.epe.gov.br/sites-pt/publicacoes-dados-abertos/publicacoes/PublicacoesArquivos/publicacao-804/topico-758/PDE2034_Aprovado.pdf
