time_index,BR_CW_Onshore_Class0,BR_CW_Onshore_Class1,BR_CW_Onshore_Class2,BR_CW_Onshore_Class3,BR_N_Onshore_Class0,BR_N_Onshore_Class1,BR_N_Onshore_Class2,BR_N_Onshore_Class3,BR_NE_Onshore_Class0,BR_NE_Onshore_Class1,BR_NE_Onshore_Class3,BR_S_Onshore_Class0,BR_S_Onshore_Class1,BR_S_Onshore_Class3,BR_SE_Onshore_Class0,BR_SE_Onshore_Class1,BR_SE_Onshore_Class3
1,0.08061578863785289,0.07037419382158054,0.02506098618132981,0.013538891000694876,0.023703490774605675,0.05355777852351723,0.015099571353835481,0.026400671671332393,0.2848934256354709,0.27632198805002345,0.0696327467822002,0.2432270223366267,0.2060174073415869,0.051889855,0.1317522718143617,0.1254237367537794,0.106844546
2,0.08820232066347704,0.08083339059519284,0.028394663149778135,0.014109083117221435,0.02732108923957645,0.055146722343812814,0.026355600370564215,0.027647664623620862,0.2999638449212494,0.2627434507267168,0.06805897711135712,0.326541408281812,0.2434003200976594,0.029275362,0.15088592582553456,0.11826811708493631,0.122696873
3,0.09111415758042107,0.08585012785606684,0.037638541814996734,0.013626793037132299,0.023929920937231047,0.06295077840400562,0.03798498724957952,0.02794301332735887,0.29117331096911575,0.22958706653967204,0.06301028563540786,0.305105683059796,0.26747661959279,0.0,0.15720774016786865,0.11069678044470802,0.125493822
4,0.09182565813052813,0.08022018441201544,0.04165811953497209,0.014044488446557129,0.019742609016142217,0.06421130591791037,0.04370226877186095,0.027565335793803786,0.2710681420279956,0.20368250830308673,0.06112981587033788,0.32116123104224,0.3735277733626893,0.0,0.15212495785385502,0.11413162301107505,0.142176964
5,0.08848979489261721,0.07291683570256191,0.04262536839935356,0.0133407218236865,0.018787323757150552,0.064574133833308,0.04805350226900461,0.02841148217302506,0.25016273707716513,0.17995203561719936,0.0563600394751895,0.3381928038471469,0.4982444467042045,0.0,0.1385295728967607,0.12613072867111957,0.163872159
6,0.08490490033994641,0.06871600917257208,0.042941251751396646,0.012062184844465338,0.016686128192224536,0.055957956085756495,0.05055689731982688,0.02789967422982885,0.22923941723461538,0.1552482118077011,0.0554998732088241,0.35513033842795527,0.5499558978095574,0.001826087,0.12763605174468326,0.1312791994628721,0.151916095
7,0.08355348639877988,0.07121832070759503,0.04045047874190928,0.00975016795222082,0.017140010768883242,0.04766884602521308,0.05329967444965841,0.027165805916509436,0.21021076864174257,0.13884613881515753,0.057609674771757345,0.38078007861630225,0.4987512481954971,0.006695652,0.12177497054631474,0.12045505846964491,0.124366438
8,0.0777646574680855,0.07219903891279808,0.04242324721134844,0.008553595757261936,0.01798219279914278,0.03973811534999758,0.05186129897792054,0.024278421414809993,0.19290813241747568,0.12659122654110827,0.05311768528819904,0.3744629401428852,0.5079941440706547,0.010910145,0.11373745294306337,0.10730524653390584,0.092769184
9,0.07278779611539962,0.07087169077005293,0.046048990009953064,0.009624733714461915,0.020905092657945094,0.031906321776951484,0.048276507435599414,0.021457682435209173,0.1835654036042492,0.12254260393296854,0.04645462719184505,0.39922541208304585,0.5089034402836405,0.001826087,0.10213620536912124,0.09944751574282633,0.077690618
10,0.07396570300931125,0.06888114959633916,0.05032717985973227,0.01145738174667803,0.026045736506998752,0.025387496446032956,0.044912163022661614,0.020131713311824465,0.17449666648910991,0.12406780223080235,0.03805720998384529,0.36276910890176983,0.5615984727759998,0.0,0.09912273253483936,0.10031663059732962,0.088615103
11,0.07044219688300361,0.04921462331084639,0.05118735997740824,0.017997488805088318,0.0638771502673793,0.02396812938954682,0.050592944765373994,0.03577304363835322,0.18940644119522707,0.14865435353122944,0.05227315363656101,0.34047814797911125,0.380270803121257,0.0,0.08532548224494257,0.06989860959926036,0.064572693
12,0.04129953494155915,0.029489852078497674,0.018226257064560665,0.009289831714783358,0.0401244111920768,0.015623139376410994,0.04546993609655106,0.025409064167364947,0.17201326928101424,0.17083482663713626,0.06141040978668356,0.4191480441208404,0.4376825185058718,0.0,0.07068948414731765,0.06986068912669945,0.073965828
