Time_Index,elec_N,elec_NE,elec_CW,elec_SE,elec_S
1,10299.763,33571.173,5733.12,6751.241,7345.9439999999995
2,10202.077000000001,34702.488,5644.187,6701.162,6887.322
3,10026.48,34835.177,5557.808,6618.902,6973.37
4,9756.121,34166.543,5463.146000000001,6568.424,7076.688
5,9522.987,34221.236,5324.778,6571.897000000001,6416.49
6,8689.082999999999,34044.108,5367.206,6625.8240000000005,5367.063
7,7841.005,33711.716,6423.317,6912.666,4174.312
8,7594.89,32224.906,7651.646000000001,7521.576999999999,3892.065
9,7765.566000000001,29924.443,8613.384,8214.012,4113.048000000001
10,8383.382,28191.742,9643.162,8826.946,4314.07
11,8845.407,27883.119,10275.598,9234.353000000001,4555.959000000001
12,8991.365000000002,28447.222999999998,10499.193,9345.252,4632.978
13,8855.448,28335.556,10391.394,9217.875,4559.23
14,8507.17,28395.116,10473.491,8689.368999999999,4399.256
15,8323.15,29601.908000000003,10327.505000000001,8107.309000000001,4239.1050000000005
16,8116.206,31729.515000000003,10220.092,7706.752,4252.536
17,8453.187,32878.225999999995,9594.738000000001,7327.504000000001,5887.609
18,10239.631000000001,32676.517,8260.469000000001,6965.312000000001,8044.679
19,12459.080999999998,34413.511,7112.121999999999,7066.866,9220.159
20,14363.601,37219.524999999994,7088.9220000000005,7067.572,9624.171
21,15461.810000000001,36878.815,7328.956999999999,7071.504,9633.229
22,16267.049000000003,35926.266,7336.722,7173.263,9555.469000000001
23,15921.792,35677.924,7020.969,7232.557999999999,9169.545
24,15058.673999999999,34638.168,6673.423999999999,7193.308000000001,8864.972
25,13184.585000000001,33978.34,6584.958,7163.73,8489.974
26,10765.529999999999,33911.025,6647.154,7153.5470000000005,8142.727999999999
27,9137.842,34248.948000000004,6625.867,7147.763,7674.844
28,8456.108,33780.347,6532.99,7170.294,7688.8189999999995
29,8736.492,33191.339,6338.923999999999,7185.994000000001,7648.567999999999
30,8053.596,33557.207,6478.952,7310.441,7626.901
31,7393.613,35650.051999999996,6995.325,7691.738,7270.996
32,7409.154000000001,37742.919,8625.810000000001,8244.220000000001,7639.0689999999995
33,8113.071000000001,38076.496,10753.707,8899.732,7466.865
34,8917.524,37267.878,12007.354,9386.018,7804.927
35,9373.727,37789.681,13213.299,9809.333,8079.856
36,9747.218,37740.512,13860.666,10072.573,8479.295999999998
37,9968.018000000002,36724.277,14077.944,9892.26,8954.301000000001
38,10305.213,37736.566999999995,13888.982,9502.853000000001,9574.169
39,11365.803,38281.847,14284.386999999999,9359.603,9409.306
40,12001.056,38363.021,14710.604,8881.041,8975.232
41,13237.146,38200.395000000004,14365.701,8329.118,8850.869
42,15871.919,37188.056,11156.336000000001,7776.229,9345.575
43,18093.523999999998,36332.947,9911.108,7480.637000000001,9669.735
44,19868.442000000003,38418.854,10009.058,7384.380000000001,10039.768
45,20181.062,39381.783,9421.837,7381.652,10069.07
46,19904.332000000002,39582.117000000006,9266.622,7386.043,9990.469000000001
47,19247.095,39123.703,8493.76,7370.852000000001,9686.219000000001
48,18587.174000000003,37184.967,8060.269,7351.866,9230.493
49,17698.945,35359.448,7207.773,7296.944,8791.377
50,16260.444000000001,34763.194,6378.405000000001,7315.6900000000005,8444.509
51,14164.555,34662.8,6187.656,7350.108,8389.189999999999
52,13178.313,34445.271,6078.57,7364.266,8281.125999999998
53,13234.678999999998,34010.047,5968.9039999999995,7347.909000000001,8134.485000000001
54,12465.557999999999,33879.864,6177.043,7448.412,8113.744000000001
55,10781.066,34320.345,7788.5070000000005,7781.844000000001,8528.441
56,8879.874,36869.636,10285.507,8350.679,8568.865
57,9125.574,38353.422000000006,11658.249,8960.274000000001,8748.316
58,9652.851999999999,38230.009,13100.004,9506.110000000002,8409.235
59,10168.188,37821.932,14169.628,9894.434,8611.324
60,10980.991,36760.114,15020.197,10038.067000000001,8794.123
61,11620.894999999999,35163.045,15197.933,9864.618,9483.288999999999
62,13055.618999999999,35680.892,14830.185,9570.838,9910.960000000001
63,13978.467,37704.209,13961.838,9125.8,10003.095
64,14797.502,37895.796,13614.084,8465.367999999999,9707.771999999999
65,16284.598,37766.626000000004,11895.745,7848.215,10121.264
66,17106.864,37557.656,10267.833999999999,7388.888,10276.75
67,17577.769,38544.828,9301.087,7144.6849999999995,9901.541000000001
68,18914.479,40125.865000000005,9762.593,7191.918,9748.721
69,19236.362,40854.235,9991.67,7248.031,9560.113000000001
70,18973.707,40897.975,9854.686,7266.272999999999,9335.314999999999
71,18647.686999999998,40378.275,9569.584,7279.101,8972.124
72,18247.626,38401.509,9038.498,7279.468,8785.738
73,17850.303,36329.939,8269.122,7243.215,8397.426
74,16767.759000000002,34953.947,7828.098,7000.014999999999,8050.3
75,15907.498,33864.42,7335.19,6970.82,7971.383
76,15278.206,33283.392,6977.057999999999,6971.349,7905.32
77,15276.707,32334.39,6847.339,6974.163,8000.903
78,15292.985999999999,30593.59,6972.363,7088.345,8021.9490000000005
79,14121.177,30219.134999999995,7712.511,7478.904,8327.363
80,11167.795,32706.307,9250.27,8039.345,8644.099
81,9496.447,34093.995,10771.829000000002,8389.077,8706.775
82,9928.399,34666.266,12417.497,8729.953000000001,7857.467000000001
83,10534.851999999999,35257.867999999995,13523.973,9011.088000000002,6923.601000000001
84,10589.570000000002,35354.024,14219.805,9162.914999999999,6666.51
85,10533.529,35076.327000000005,14148.662,9080.978000000001,6685.132
86,10623.815999999999,35424.401,14213.181999999999,8748.436,7111.851000000001
87,11101.626,35626.56799999999,13383.864000000001,8431.218,7821.342999999999
88,11827.794000000002,35761.998,12326.699,7848.034000000001,7960.972
89,13260.663,36427.06,10753.574,7587.441,7867.544
90,15238.863999999998,37078.59,9690.877,7268.012,8294.392
91,17363.484999999997,38162.546,9011.612000000001,7087.8279999999995,9348.811
92,18315.449,40607.165,8906.377,7012.424,9791.18
93,18375.639,40606.131,9159.224,7000.646,9844.773000000001
94,17921.384000000002,39525.079000000005,9142.449,6998.570000000001,9568.537
95,16666.429000000004,38486.477,8944.094,7001.441,9279.149
96,16164.994,36790.675,8845.124,6984.536,8929.198
97,15380.56,34805.499,8422.214,6993.961,8816.475
98,14741.714,32996.945,8034.674,6989.231,8502.95
99,14265.056999999999,32205.343999999997,7847.648999999999,6944.262,7752.797
100,13799.439999999999,32087.046,7661.951999999999,6944.262,7020.474
101,13590.616000000002,31168.486,7578.228,6937.137,7100.68
102,12123.836000000001,30338.996,7699.763,7004.269,7159.9039999999995
103,9897.099999999999,31638.376,7638.125,7389.731,6640.879999999999
104,8460.568,32114.274,8307.988000000001,7872.914,6304.286
105,8551.233,30935.446,10160.84,8044.512000000001,5964.965
106,9163.084,29744.301999999996,11106.025,8356.455000000002,6016.781999999999
107,9356.309,30119.989999999998,11807.975999999999,8688.548999999999,6108.08
108,9600.813,31146.944,12261.623,8628.448,6230.527
109,9528.725999999999,31558.690000000002,12139.164,8541.087,6242.79
110,9491.767999999998,31608.552,11956.644,8165.733,6147.405000000001
111,9464.22,31986.182000000008,11816.544000000002,7824.009999999999,5916.68
112,10004.41,32467.307,11600.894,7595.539000000001,6116.675
113,11064.931,33548.613,10829.825,7680.178,6412.495
114,12823.011,35397.265,9377.064,7267.186,7805.925000000001
115,15768.585,36971.594,8158.5960000000005,6850.245999999999,9166.315
116,17517.418999999998,38503.013000000006,8452.26,6908.887,9292.922
117,18491.832000000002,38817.488,8681.481,7019.196,9136.235
118,18364.921000000002,38058.403,9026.672999999999,6986.469,9092.08
119,17832.120999999996,37434.414,9031.48,6935.196,9107.233
120,16336.483,36244.551,8968.288,6924.742,9065.512999999999
121,15500.422,33877.876,8797.192,6894.927000000001,9019.758
122,14359.526,32527.144999999997,8558.841,6944.445,8938.048999999999
123,13124.665,31897.048000000003,8511.455,6942.897,8817.147
124,11819.989999999998,31878.081000000002,8309.794,6948.1410000000005,9012.390000000001
125,12118.277,31659.484,8197.613,6907.13,8793.582
126,12765.881,31030.076999999997,8330.43,6893.334,8718.891
127,12448.940000000002,32459.176,9151.61,7123.176,8902.881000000001
128,11318.237000000001,35890.636,11462.207,7610.598,9044.789
129,10842.894,38824.746,13246.645,8037.964999999999,9330.267
130,10705.656,39744.537000000004,14856.62,8463.826000000001,9350.258
131,10857.118000000002,40416.777,16706.251,8947.229,9281.554
132,11018.984,41229.913,17048.487999999998,9206.280999999999,8926.278
133,11139.106000000002,40780.154,16386.911,9063.140000000001,8795.645
134,12202.045,41213.524,16308.826000000001,8815.851999999999,9516.761
135,13928.421,40765.113,15997.857,8447.568000000001,10423.762
136,16236.696,39737.555,14725.813,7954.771000000001,10928.717
137,17872.068,39851.984,13353.568,7494.65,10688.655999999999
138,17597.443,38865.172999999995,11801.094,6976.818,10642.15
139,18150.84,38370.541,10969.385,6630.446999999999,11184.537
140,20023.064,39655.253000000004,11492.875,6550.945,11353.279999999999
141,20796.009,39678.215,12143.909,6592.722,11381.92
142,21385.253000000004,38547.322,12345.422,6613.855,11435.895
143,20995.932,37017.006,11776.833999999999,6680.735000000001,11337.333
144,19122.216,34966.958999999995,11578.14,6693.37,11247.514
145,17879.157,32988.54,10587.921,6663.724,10984.179
146,17232.958,31191.345,9992.162,6642.3550000000005,10554.606
147,17169.908,29779.974000000002,9442.969000000001,6637.248,9639.118999999999
148,16780.798,29529.415,9696.289,6634.708,8730.972
149,16716.231,29366.346999999998,9543.545,6622.804,8652.86
150,16684.308999999997,29204.004,9514.141,6658.141,8656.996
151,16571.829,29202.225,11085.511999999999,6997.681,8778.887
152,16644.472999999998,31720.756999999998,13182.159,7415.280000000001,9200.579
153,16301.168000000001,34700.175,14958.413,7939.203,9321.955
154,16418.048,36157.592,16172.995,8397.876,8869.589
155,16499.14,37365.051,16372.947,8705.824,8903.538
156,16400.828,37795.065,16440.978000000003,8861.023000000001,9005.784
157,16413.065000000002,37772.367,15941.137999999999,8109.416000000001,9061.017
158,17502.860999999997,38607.004,16237.691,7853.392999999999,9307.715
159,17860.531,39778.382,15734.464,7539.081,9845.424
160,17511.552,40748.937,14796.748,7101.168000000001,10278.937999999998
161,18059.113,41390.723000000005,13545.794999999998,6718.688000000001,10403.767
162,18371.470999999998,39739.725999999995,12085.746,6354.773,10070.784
163,18385.441,39660.929000000004,11017.814,6110.121999999999,9883.542000000001
164,20529.41,40577.81800000001,11189.758000000002,6055.151,10095.758
165,20860.921000000002,40303.406,12404.673999999999,6052.661,10324.76
166,20836.922000000002,39814.393,12726.891,6042.584999999999,10567.208999999999
167,20396.339,38338.19,12281.32,6045.967000000001,10724.992
168,19882.155,35834.53,11732.687,6015.15,10360.348
169,18712.351,32815.922,11476.414,6089.085000000001,10434.004
170,18011.893,30508.688000000002,11429.796999999999,6080.868,10140.422999999999
171,17157.182,29799.512000000002,10645.125,6087.817999999999,9595.632
172,16650.395999999997,29670.371,10218.978,6089.046,9266.056
173,16618.744,29288.232000000004,10108.928,6109.428,9290.85
174,16757.803,29401.538000000004,10182.278,6187.159,9086.024000000001
175,16352.911999999998,30526.351,11073.272,6596.528,9355.231
176,17039.017000000003,33165.873999999996,12056.491,7111.303,9574.347000000002
177,17786.606,35898.917,12521.147,7562.083,9903.702
178,17167.562,37928.853,13428.331999999999,8024.650000000001,9550.039
179,17314.678,39170.45,14231.666000000001,8398.943,9497.755000000001
180,17380.239999999998,39632.511,15005.841,8575.859,9316.347
181,16737.547,39459.849,15053.262,8362.456,9370.932
182,18099.667,40281.471999999994,15761.045,7958.977999999999,9428.516
183,18510.381999999998,41303.52,16326.992999999999,7680.482,9335.386
184,18679.605,41539.75,15776.579000000002,7341.411,9417.807
185,18791.846,40978.577000000005,14845.071,7013.665000000001,9774.819
186,18811.038,39157.275,13248.04,6677.651000000001,9682.537
187,19589.462,39547.439999999995,12239.083,6482.717000000001,9498.403999999999
188,20806.178,40594.818,12476.382999999998,6485.6630000000005,10048.89
189,21095.203999999998,40488.792,12541.725999999999,6518.727,10370.934000000001
190,21120.581000000002,39839.587,12994.343,6558.5470000000005,10370.401
191,20869.546000000002,37599.09,13335.672999999999,6553.044,10081.911
192,20482.873,35080.243,12385.434,6569.227,9822.115
193,19098.311999999998,32962.432,10746.577,6548.6720000000005,9628.11
194,17794.14,31610.159,10217.946,6529.832,9266.258
195,16642.142,30344.808,9780.688,6578.645,9267.635
196,15782.794000000002,30125.735999999997,9367.492,6621.575000000001,9257.818
197,15956.487000000001,30425.867,8792.062,6566.0599999999995,9134.28
198,16853.048000000003,30073.826000000005,8746.583,6598.6810000000005,8929.204
199,17334.59,30732.560999999998,9598.607,6899.894,9005.803
200,17763.926,33866.80100000001,10868.261,7419.565,8990.54
201,18048.059,36918.411,11473.613000000001,7886.601,9395.682
202,18195.877,37771.789000000004,12673.911,8329.106000000002,9375.282
203,17059.077999999998,38662.767,14750.830999999998,8603.446999999998,9269.499
204,16627.109,39439.35,14895.366000000002,8842.955,9257.444
205,15881.496000000001,38875.652,15069.723,8757.859,9020.688
206,17576.433999999997,40020.130000000005,15169.824,8364.258999999998,8870.932
207,19395.195,41340.228,14127.911,8104.504,9395.3
208,19905.707999999995,41032.435,13333.204000000002,7667.170000000001,9950.408
209,19599.397,40721.85,12971.319,7241.32,9886.365
210,19204.003999999997,39555.204,11737.626,6908.47,9493.387999999999
211,19901.513,38827.447,11289.308,6626.759,9654.317
212,20691.086,39689.987,12207.349,6503.456,10565.69
213,21595.272,39481.098,12276.226999999999,6512.167,10733.855
214,21581.52,38805.073000000004,12240.075,6520.76,11097.792000000001
215,21351.565,36419.179,12195.744,6563.192,11128.213
216,19986.547,34544.762,11692.801,6568.088,10890.369999999999
217,18730.734,32983.21,10081.872,6531.803,10480.035
218,17902.326999999997,30929.323000000004,9554.486,6512.346,9443.886999999999
219,17536.305,29374.645,9190.552,6489.623,8955.831
220,17436.155,28391.996000000003,9011.219000000001,6531.494000000001,9008.286
221,17401.475000000002,28144.496000000003,8837.861,6527.4400000000005,9218.834
