Time_Index,elec_N,elec_NE,elec_CW,elec_SE,elec_S
1,24323.440000000002,86323.4,27989.44,19751.05,21615.36
2,23945.6,83440.09000000001,27886.08,19697.39,19030.19
3,24043.14,84483.35,28603.32,18753.98,19404.760000000002
4,23886.65,88145.66,28769.04,15423.52,20350.51
5,25124.219999999998,88724.16,27239.58,13274.58,23566.08
6,27537.79,90324.21,25804.300000000003,12638.359999999999,26752.26
7,29919.27,93317.11,23838.97,12767.18,28174.39
8,32394.380000000005,98340.19,25953.12,13136.97,29571.75
9,29925.680000000004,100132.54,24053.45,13817.650000000001,29840.410000000003
10,25594.629999999997,98769.4,23707.55,15565.26,29771.940000000002
11,22824.7,99601.81000000001,20175.78,16047.670000000002,29710.519999999997
12,20407.84,95394.44,18030.04,15563.84,29470.9
13,19383.510000000002,88325.19,15056.79,15051.23,27953.52
14,18704.52,79942.65000000001,13200.46,13972.010000000002,27626.21
15,18564.44,74321.66,12769.89,13850.539999999999,26584.29
16,18213.769999999997,71229.75,12235.43,13843.02,25935.350000000002
17,18045.89,71197.05,11619.869999999999,13840.240000000002,24712.670000000002
18,18230.07,70919.66,11887.05,13848.650000000001,25009.35
19,18588.11,74199.86,13179.599999999999,13866.97,25122.22
20,20024.809999999998,81026.04,14062.19,13978.999999999998,25674.589999999997
21,20011.45,85251.37999999999,18786.11,14875.09,26798.29
22,20500.119999999995,86711.25,22825.5,16494.46,26841.47
23,20814.360000000004,85442.26,25871.719999999998,17655.83,24985.29
24,21947.97,85790.64,27915.86,18480.77,22002.68
25,22145.620000000003,86452.62,28225.41,19117.839999999997,20138.77
26,21439.469999999998,84876.51,27497.239999999998,19192.28,17265.73
27,21783.300000000003,83688.5,28042.46,18888.99,20174.17
28,21892.930000000004,84164.36,26515.83,18091.31,24822.54
29,21856.589999999997,84349.19,26117.89,17055.23,27638.61
30,24343.57,87150.35,24840.19,16704.649999999998,28445.730000000003
31,28161.84,88982.89,23811.54,16689.89,28886.43
32,31081.039999999997,96325.37999999999,25060.99,16505.53,29959.88
33,29325.19,97651.51000000001,23126.79,16497.06,29909.75
34,26222.67,96297.2,22395.59,16481.96,29913.989999999998
35,24440.010000000002,95143.19,20999.78,16391.61,29770.56
36,21374.98,92110.05,18159.84,16184.439999999999,29526.870000000003
37,20949.88,86610.53,14732.869999999999,15653.88,27448.33
38,20514.61,81953.19,12988.55,14133.949999999999,24104.35
39,20107.64,75965.9,12692.66,13908.81,23593.190000000002
40,20416.21,72105.05,12435.61,13938.19,23110.71
41,20149.020000000004,70871.81999999999,12482.73,13958.51,22554.489999999998
42,20675.640000000003,70795.45,12541.52,13963.270000000002,23128.14
43,20826.530000000002,73627.91999999998,12657.07,13943.1,24997.72
44,20586.460000000003,81839.95999999999,13892.029999999999,14078.42,25452.480000000003
45,20425.69,86493.42000000001,19658.16,15040.210000000001,25081.54
46,21043.690000000002,87531.19,25194.71,16470.04,23720.95
47,21935.159999999996,87540.01999999999,26667.0,17824.47,21554.54
48,22795.499999999996,86079.38999999998,27707.239999999998,18932.510000000002,20914.97
49,22475.89,85891.47,28170.79,20037.14,19111.46
50,22486.94,81407.48,28733.04,20408.91,17275.36
51,24107.55,79647.56999999999,29966.78,20220.62,18623.840000000004
52,26527.02,78165.58,28620.56,19301.53,21889.44
53,27719.449999999997,77557.92,26826.39,18635.210000000003,24614.57
54,29558.23,81091.84,23534.75,18345.87,26820.04
55,30903.27,85536.32,21557.52,18125.7,29071.06
56,33903.61,92399.91,22560.32,17713.329999999998,30150.38
57,34345.97,93958.09999999999,18201.96,17724.64,30239.9
58,33727.14,91459.09,15682.02,17613.6,29997.98
59,30835.100000000002,91883.93,14580.300000000001,16455.75,29849.600000000002
60,26005.39,89111.67,15691.369999999999,15913.71,29711.65
61,23505.71,82882.84,14916.5,15284.02,28536.839999999997
62,19944.600000000002,77774.65000000001,14006.45,15613.5,27499.79
63,17877.629999999997,72891.09,13008.16,15514.119999999999,26524.88
64,17175.16,68783.12,12940.169999999998,15367.460000000001,25904.72
65,17585.89,67407.17,12692.11,15314.56,24428.9
66,18038.55,67415.83,12671.669999999998,15158.78,23458.97
67,18317.87,68119.33000000002,13068.5,14963.769999999999,23469.23
68,17212.57,71032.21999999999,13436.95,15152.17,23466.010000000002
69,17100.379999999997,74129.01,18398.05,16099.24,21082.4
70,18319.519999999997,73789.27,23624.379999999997,17763.61,18500.469999999998
71,19496.100000000002,69803.92000000001,26049.68,19358.57,17895.37
72,20318.96,66604.05,27709.780000000002,20557.01,18264.26
73,21196.350000000002,64406.27,28336.08,20654.4,18671.02
74,21379.1,63105.15,28175.32,20372.56,18613.86
