Time_Index,h2_N,h2_NE,h2_CW,h2_SE,h2_S
1,5978.0,20705.23,9888.9,6463.45,4064.49
2,5106.110000000001,17640.940000000002,8701.5,5501.96,3455.91
3,4631.360000000001,15975.369999999999,8038.33,4979.66,3125.5099999999998
4,4252.2699999999995,14657.34,7439.82,4567.719999999999,2866.04
5,4402.35,15154.91,7816.48,4720.54,2960.1099999999997
6,4387.740000000001,15098.510000000002,7825.05,4702.34,2948.14
7,4494.249999999999,15475.82,7953.460000000001,4820.99,3023.5299999999997
8,4498.05,15502.59,7881.110000000001,4830.929999999999,3030.97
9,6029.27,20832.989999999998,10260.060000000001,6497.82,4081.62
10,6506.2300000000005,22467.079999999998,11151.27,7005.9800000000005,4399.58
11,6093.11,21002.48,10661.98,6545.01,4106.65
12,6846.679999999999,23652.79,11677.0,7376.8099999999995,4633.36
13,5797.21,19990.620000000003,10097.33,6230.62,3910.1
14,5384.289999999999,18574.58,9333.98,5790.07,3634.33
15,5819.18,20052.059999999998,10218.19,6248.14,3919.8
16,5634.000000000001,19400.46,9970.52,6043.63,3790.27
17,6164.779999999999,21274.239999999998,10645.3,6632.42,4163.77
18,5388.89,18560.09,9516.04,5782.25,3626.67
19,5802.63,20075.78,9724.619999999999,6264.5199999999995,3937.44
20,4734.78,16471.5,7416.84,5149.77,3244.95
21,6337.919999999999,22122.21,9504.89,6924.589999999999,4369.9
22,6841.25,23895.57,10164.07,7481.5199999999995,4722.88
23,7780.99,27063.85,12216.130000000001,8460.89,5330.94
24,7575.01,26312.09,12095.3,8222.01,5177.25
25,5978.0,20705.23,9888.9,6463.45,4064.49
26,5106.110000000001,17640.940000000002,8701.5,5501.96,3455.91
27,4631.360000000001,15975.369999999999,8038.33,4979.66,3125.5099999999998
28,4252.2699999999995,14657.34,7439.82,4567.719999999999,2866.04
29,4402.35,15154.91,7816.48,4720.54,2960.1099999999997
30,4387.740000000001,15098.510000000002,7825.05,4702.34,2948.14
31,4494.249999999999,15475.82,7953.460000000001,4820.99,3023.5299999999997
32,4498.05,15502.59,7881.110000000001,4830.929999999999,3030.97
33,6029.27,20832.989999999998,10260.060000000001,6497.82,4081.62
34,6506.2300000000005,22467.079999999998,11151.27,7005.9800000000005,4399.58
35,6093.11,21002.48,10661.98,6545.01,4106.65
36,6846.679999999999,23652.79,11677.0,7376.8099999999995,4633.36
37,5797.21,19990.620000000003,10097.33,6230.62,3910.1
38,5384.289999999999,18574.58,9333.98,5790.07,3634.33
39,5819.18,20052.059999999998,10218.19,6248.14,3919.8
40,5634.000000000001,19400.46,9970.52,6043.63,3790.27
41,6164.779999999999,21274.239999999998,10645.3,6632.42,4163.77
42,5388.89,18560.09,9516.04,5782.25,3626.67
43,5802.63,20075.78,9724.619999999999,6264.5199999999995,3937.44
