Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--hvo_production,transforms--saf_production,transforms--hydrogen_consumption,transforms--electricity_consumption,transforms--co2_content,transforms--emission_rate,transforms--capture_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--hydrogen_edge--commodity,edges--hydrogen_edge--unidirectional,edges--hydrogen_edge--has_capacity,edges--hydrogen_edge--start_vertex,edges--hvo_edge--commodity,edges--hvo_edge--unidirectional,edges--hvo_edge--has_capacity,edges--hvo_edge--end_vertex,edges--saf_edge--commodity,edges--saf_edge--unidirectional,edges--saf_edge--has_capacity,edges--saf_edge--end_vertex,edges--elec_consumption_edge--commodity,edges--elec_consumption_edge--unidirectional,edges--elec_consumption_edge--has_capacity,edges--elec_consumption_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
HEFA,BR_AC_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_AC,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_AL_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_AL,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_AP_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_AP,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_AM_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_AM,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_BA_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_BA,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_CE_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_CE,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_DF_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_DF,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_ES_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_ES,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_GO_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_GO,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
HEFA,BR_MA_HEFA_macaw,Biomass,TRUE,3.303,0.6315,0.05,0.01,1.76,0.7831,0,Macaw,TRUE,TRUE,TRUE,TRUE,30,30,FALSE,TRUE,macaw_BR_MA,1,500000,20000,5,0,system/availability.csv,Availability_One,Hydrogen,TRUE,FALSE,h2_BR,Diesel,TRUE,FALSE,renewable_diesel_BR,JetFuel_SAF,TRUE,FALSE,jetfuel_SAF_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
