Time_Index,Demand_Electricity,Demand_Hydrogen,elec_demand_NE,elec_demand_N,Demand_Zero
1,100,100,18700.691,8931.042,0
2,100,100,18963.333,8912.802,0
3,100,100,19584.403,8904.321,0
4,100,100,19429.359,8921.163,0
5,100,100,19890.302,8870.022,0
6,100,100,19975.317,8012.196,0
7,100,100,19359.239,6615.419,0
8,100,100,18128.964,6019.046,0
9,100,100,15377.516,5858.46,0
10,100,100,13405.983,6199.42,0
11,100,100,12378.885,6469.247,0
12,100,100,12409.417,6544.904,0
13,100,100,12405.463,6515.063,0
14,100,100,12560.866,6388.669,0
15,100,100,13801.76,6236.008,0
16,100,100,15480.648,6015.693,0
17,100,100,16267.465,6104.681,0
18,100,100,15532.993,7378.392,0
19,100,100,17324.268,9249.456,0
20,100,100,18920.307,11149.27,0
21,100,100,18997.954,11976.212,0
22,100,100,18826.692,12485.505,0
23,100,100,18834.987,12540.088,0
24,100,100,19226.969,12359.047,0
25,100,100,18881.698,10968.46,0
26,100,100,18844.726,8835.026,0
27,100,100,19350.842,7490.259,0
28,100,100,19407.571,7161.024,0
29,100,100,18874.493,7154.731,0
30,100,100,19137.792,6740.257,0
31,100,100,20681.372,5920.805,0
32,100,100,22938.395,5908.922,0
33,100,100,22957.123,6075.51,0
34,100,100,20952.551,6487.957,0
35,100,100,20526.791,6677.378,0
36,100,100,19515.075,6683.684,0
37,100,100,18429.583,6588.686,0
38,100,100,18467.316,6812.042,0
39,100,100,19099.051,7936.864,0
40,100,100,19083.976,8881.03,0
41,100,100,18515.623,10224.427,0
42,100,100,17750.182,12348.204,0
43,100,100,18234.329,13526.352,0
44,100,100,20620.647,15322.167,0
45,100,100,21461.309,15813.303,0
46,100,100,21750.145,15609.695,0
47,100,100,21108.541,15154.749,0
48,100,100,20499.178,15049.512,0
49,100,100,20465.626,14955.072,0
50,100,100,20884.836,13794.227,0
51,100,100,21245.268,11866.562,0
52,100,100,21107.316,10922.351,0
53,100,100,20670.737,10760.36,0
54,100,100,20330.803,9619.472,0
55,100,100,20879.991,7489.261,0
56,100,100,22891.042,6174.975,0
57,100,100,23471.731,6009.854,0
58,100,100,22238.878,6298.77,0
59,100,100,20974.046,6532.908,0
60,100,100,19807.308,6579.128,0
61,100,100,18834.222,6522.1,0
62,100,100,18958.396,7541.538,0
63,100,100,18511.015,8491.221,0
64,100,100,17489.237,9466.621,0
65,100,100,16495.417,10729.493,0
66,100,100,16401.494,11537.554,0
67,100,100,17474.836,12941.734,0
68,100,100,19467.003,14680.639,0
69,100,100,19704.579,15301.884,0
70,100,100,19816.702,15129.176,0
71,100,100,19647.615,14872.227,0
72,100,100,19437.624,14683.077,0
73,100,100,18829.074,14942.29,0
74,100,100,17653.714,13974.455,0
75,100,100,17045.75,13052.046,0
76,100,100,16773.921,12384.513,0
77,100,100,16186.57,12031.227,0
78,100,100,15034.521,11607.96,0
79,100,100,15975.828,10558.022,0
80,100,100,19055.399,7708.86,0
81,100,100,19728.583,5874.835,0
82,100,100,18977.272,6083.547,0
83,100,100,18961.821,6446.005,0
84,100,100,19024.364,6304.024,0
85,100,100,18631.455,6305.829,0
86,100,100,18268.604,6256.794,0
87,100,100,18379.344,6400.079,0
88,100,100,17454.947,7040.069,0
89,100,100,17074.377,8524.455,0
90,100,100,17673.318,10538.176,0
91,100,100,17769.456,12454.918,0
92,100,100,19376.394,13978.449,0
93,100,100,18897.495,14192.063,0
94,100,100,17921.384,14027.475,0
95,100,100,17451.079,13100.568,0
96,100,100,16624.604,13016.211,0
97,100,100,15580.48,12712.101,0
98,100,100,14427.247,12010.172,0
99,100,100,14410.538,11633.496,0
100,100,100,14580.431,11346.212,0
101,100,100,13975.297,10684.927,0
102,100,100,14119.846,8860.912,0
103,100,100,16179.533,6864.483,0
104,100,100,17348.442,5624.487,0
105,100,100,16241.109,5723.378,0
106,100,100,14619.205,5954.246,0
107,100,100,13703.451,6165.213,0
108,100,100,13873.017,6209.608,0
109,100,100,13995.386,6109.347,0
110,100,100,14571.591,6156.661,0
111,100,100,15300.485,6159.753,0
112,100,100,16622.952,6317.295,0
113,100,100,15788.082,6879.27,0
114,100,100,15381.765,8524.758,0
115,100,100,15966.102,11878.586,0
116,100,100,17232.809,13723.753,0
117,100,100,16923.353,14770.71,0
118,100,100,16276.913,14738.031,0
119,100,100,15546.098,14337.144,0
120,100,100,14917.99,12732.263,0
121,100,100,13978.181,11888.261,0
122,100,100,12893.651,10947.292,0
123,100,100,12637.767,10114.004,0
124,100,100,12479.729,8941.303,0
125,100,100,12332.457,8851.771,0
126,100,100,12322.838,8999.766,0
127,100,100,13379.606,8321.369,0
