Type,id,location,edges--elec_edge--constraints--MaxCapacityConstraint,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--max_capacity,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--elec_edge--startup_fuel_consumption,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_Combined_Cycle,BR,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,TRUE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,5000,1,50,0.08,20,41191,0,2,100,0.108672,elec_BR_SP,5.27,1050365.517,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_AM_Combined_Cycle_Existing,BR_AM,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,591,1,50,0.08,20,146227.4,591,2,591,0.108672,elec_BR_AM,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_BA_Combined_Cycle_Existing,BR_BA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,186,1,50,0.08,20,146227.4,186,2,186,0.108672,elec_BR_BA,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_CE_Combined_Cycle_Existing,BR_CE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,547,1,50,0.08,20,146227.4,547,2,547,0.108672,elec_BR_CE,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MA_Combined_Cycle_Existing,BR_MA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,3024,1,50,0.08,20,146227.4,3024,2,3024,0.108672,elec_BR_MA,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MG_Combined_Cycle_Existing,BR_MG,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,235,1,50,0.08,20,146227.4,235,2,235,0.108672,elec_BR_MG,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MS_Combined_Cycle_Existing,BR_MS,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,386,1,50,0.08,20,146227.4,386,2,386,0.108672,elec_BR_MS,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_MT_Combined_Cycle_Existing,BR_MT,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,529,1,50,0.08,20,146227.4,529,2,529,0.108672,elec_BR_MT,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PE_Combined_Cycle_Existing,BR_PE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,550,1,50,0.08,20,146227.4,550,2,550,0.108672,elec_BR_PE,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
ThermalPower,BR_PR_Combined_Cycle_Existing,BR_PR,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,Electricity,FALSE,FALSE,TRUE,TRUE,NaturalGas,FALSE,co2_emitted_BR,TRUE,CO2,FALSE,TRUE,NaturalGas,FALSE,484,1,50,0.08,20,146227.4,484,2,484,0.108672,elec_BR_PR,5.27,0,0.108,0,104.7,0.586,natgas_BR,2.106,0.1813,
