Time_Index,Amazonas_hydro_res,Doce_hydro_res,Grande_hydro_res,Iguacu_hydro_res,Jacui_capivari_hydro_res,Jequitinhonha_hydro_res,Paraiba_do_sul_hydro_res,Parana_hydro_res,Paranaiba_hydro_res,Paranapanema_hydro_res,Parnaiba_hydro_res,Sao_francisco_hydro_res,Tiete_hydro_res,Tocantins_hydro_res,Uruguai_hydro_res
1,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
2,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
3,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
4,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
5,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
6,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
7,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
8,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
9,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
10,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
11,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
12,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
13,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
14,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
15,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
16,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
17,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
18,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
19,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
20,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
21,0.082556892,0.334498839,1.597388838,0.746275609,0.582640909,0.155631003,0.990520056,1.269635017,0.734790091,0.726209317,1.099873578,0.344348811,2.268613169,0.691223863,0.318915915
