time_index,BR_AC_Solar_Class1,BR_AC_Solar_Class2,BR_AL_Solar_Class1,BR_AM_Solar_Class1,BR_AM_Solar_Class2,BR_AM_Solar_Class3,BR_AP_Solar_Class1,BR_BA_Solar_Class0,BR_BA_Solar_Class1,BR_BA_Solar_Class3,BR_CE_Solar_Class0,BR_CE_Solar_Class1,BR_CE_Solar_Class3,BR_ES_Solar_Class1,BR_GO_Solar_Class0,BR_GO_Solar_Class1,BR_GO_Solar_Class2,BR_MA_Solar_Class0,BR_MA_Solar_Class1,BR_MA_Solar_Class2,BR_MA_Solar_Class3,BR_MG_Solar_Class0,BR_MG_Solar_Class1,BR_MG_Solar_Class3,BR_MS_Solar_Class0,BR_MS_Solar_Class1,BR_MS_Solar_Class2,BR_MS_Solar_Class3,BR_MT_Solar_Class0,BR_MT_Solar_Class1,BR_MT_Solar_Class2,BR_MT_Solar_Class3,BR_PA_Solar_Class0,BR_PA_Solar_Class1,BR_PA_Solar_Class2,BR_PA_Solar_Class3,BR_PB_Solar_Class0,BR_PB_Solar_Class1,BR_PE_Solar_Class0,BR_PE_Solar_Class1,BR_PE_Solar_Class3,BR_PI_Solar_Class0,BR_PI_Solar_Class1,BR_PR_Solar_Class0,BR_PR_Solar_Class1,BR_PR_Solar_Class3,BR_RJ_Solar_Class1,BR_RJ_Solar_Class3,BR_RN_Solar_Class0,BR_RN_Solar_Class1,BR_RO_Solar_Class1,BR_RO_Solar_Class2,BR_RO_Solar_Class3,BR_RR_Solar_Class2,BR_RS_Solar_Class1,BR_RS_Solar_Class3,BR_SC_Solar_Class1,BR_SC_Solar_Class3,BR_SE_Solar_Class1,BR_SP_Solar_Class0,BR_SP_Solar_Class1,BR_SP_Solar_Class3,BR_TO_Solar_Class0,BR_TO_Solar_Class1,BR_TO_Solar_Class2,BR_TO_Solar_Class3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.1528725,0.0,0.0,0.0,0.0,0.0,3.68e-5,0.006834571,0.0,0.0,0.0,0.06223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029102222,0.0,0.018422,0.0,0.0,0.0,0.0,0.0,0.0,0.00258,0.00123,0.0,0.0003225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.43936,0.0,0.0,0.0,0.0,0.179617333,0.369281053,0.340672,0.237559286,0.301669524,0.209565,0.28584,0.051112414,0.06006386,0.093653333,0.020170769,0.044925455,0.00101,0.065962286,0.058191964,0.037854688,0.195899375,0.052024167,0.150896667,8.45e-5,0.11780625,0.083207778,0.006940984,0.029569111,0.0024985,0.0,0.093826818,0.000202157,0.023579153,0.525521667,0.395942222,0.46162,0.51813,0.324625,0.040006744,0.026955263,0.18519,0.099717778,0.220803714,0.28561,0.33223,0.36815,0.479463333,0.0,0.0,0.0,0.0,0.411383333,0.403015079,0.0138,0.050778,0.484755,0.075355714,0.087637619,0.106655,0.045967333,0.043985455,0.0011372,0.007596667
8,0.0,0.0,0.684325,0.194045,0.06706,0.104092,0.420303333,0.303784933,0.583889474,0.515067714,0.463685714,0.556570952,0.41298,0.54052,0.167676897,0.14694807,0.21396,0.038989231,0.072369091,0.03679,0.145592286,0.128316429,0.150574375,0.38020875,0.100844167,0.355091167,0.464805455,0.535386875,0.122800556,0.300514918,0.163735111,0.1025737,0.02292,0.252606818,0.031593725,0.083255254,0.720391667,0.527517778,0.658952,0.709889,0.531001667,0.130395349,0.060837368,0.271066667,0.299941111,0.391705143,0.51613,0.5667,0.72635,0.640299167,0.021525714,0.161823333,0.025473158,0.224375714,0.648835556,0.655520476,0.62413,0.308704,0.644525,0.185583214,0.126775714,0.13093,0.105681333,0.104304545,0.0251612,0.019436667
9,0.339973333,0.19658,0.72331625,0.29522,0.264012857,0.163466,0.5727,0.383838133,0.572182105,0.542314571,0.557331429,0.687606667,0.47932,0.79079,0.261402414,0.259970351,0.301736667,0.065720769,0.147493939,0.21383,0.273293429,0.212211607,0.242367188,0.60099875,0.258525833,0.397845833,0.608545455,0.654028125,0.258209444,0.367834098,0.249007111,0.2046513,0.12234,0.364404091,0.089343137,0.156695763,0.804221667,0.677082222,0.71917,0.78864,0.667961667,0.199177209,0.093601579,0.445996667,0.364818889,0.546275714,0.613,0.70457,0.82922,0.676175833,0.095632857,0.183136667,0.107691316,0.536026429,0.767647778,0.770281111,0.80732,0.479192,0.582536667,0.270411429,0.274801905,0.283331667,0.153348667,0.193717273,0.068292,0.120646667
10,0.337003333,0.3335,0.81960375,0.37805,0.356505714,0.218714,0.53801,0.4484044,0.617203684,0.565626571,0.639975,0.753032857,0.60467,0.81042,0.342773103,0.35172807,0.454453333,0.097116154,0.205750909,0.28934,0.318005714,0.287669821,0.27211,0.668185625,0.3849975,0.5172365,0.700911818,0.6315525,0.247365556,0.477060164,0.369607556,0.2598034,0.21576,0.494525455,0.151863137,0.257821864,0.843593333,0.719215556,0.827582,0.833534,0.718823333,0.252009535,0.143364737,0.598533333,0.481051111,0.669964857,0.6686,0.84129,0.87216,0.697521667,0.284318571,0.161943333,0.182286579,0.687614286,0.787913333,0.80750127,0.70177,0.455322,0.657688333,0.430955,0.311379048,0.413666667,0.278604,0.318085,0.0780888,0.179435
