Time_Index,BR_RN_Wind_Offshore_Class1,BR_RS_Wind_Offshore_Class2,BR_RJ_Wind_Offshore_Class3
1,0.313849051,0.440754082,0.440062816
2,0.301063875,0.431200681,0.523300074
3,0.286325555,0.403417296,0.60588412
4,0.278040405,0.356337197,0.602549183
5,0.276937396,0.308621447,0.583432888
6,0.276025418,0.273358713,0.59035827
7,0.276484562,0.23763007,0.577986755
8,0.277460367,0.206170774,0.563014612
9,0.27203484,0.184971735,0.540959021
10,0.267585928,0.175254874,0.521468509
11,0.261513921,0.172295849,0.483156409
12,0.256721711,0.182843454,0.442573461
13,0.248808078,0.207237064,0.379018901
14,0.233001366,0.238895752,0.308545465
15,0.215014419,0.273368413,0.256006005
16,0.217411831,0.302682233,0.243683052
17,0.238824735,0.327151786,0.283546134
18,0.262825632,0.348545699,0.357976613
19,0.291354684,0.358727697,0.459490323
20,0.304653727,0.353875494,0.562739742
21,0.297249453,0.341985934,0.672959615
22,0.29437099,0.352795537,0.782339167
23,0.302110179,0.386039992,0.877652915
24,0.309121931,0.420423042,0.95954455
25,0.312984223,0.448660763,0.999992444
26,0.311636,0.462838537,1.0
27,0.303453624,0.462523191,0.993375418
28,0.280412485,0.436954942,0.920939965
29,0.261297646,0.385581247,0.826956763
30,0.249105128,0.321792341,0.775860845
31,0.244651079,0.272505924,0.795114099
32,0.248301514,0.2448321,0.84121888
33,0.25653176,0.236287674,0.889296787
34,0.270490446,0.220030668,0.918916372
35,0.271377181,0.185978504,0.941934325
36,0.262560495,0.142117666,0.964449831
37,0.264435476,0.104828497,0.978683222
38,0.276065716,0.087793983,0.975565071
39,0.296763985,0.085708248,0.968072651
40,0.317155466,0.091372458,0.984753684
41,0.335968296,0.097763142,1.0
42,0.362491285,0.101137595,1.0
43,0.388288732,0.096324852,1.0
44,0.404263035,0.086188707,1.0
45,0.411529107,0.077141446,1.0
46,0.414820286,0.086380603,1.0
47,0.418271124,0.106383512,1.0
48,0.409224551,0.127504734,1.0
49,0.395082677,0.154175977,1.0
50,0.386473341,0.193107898,1.0
51,0.380706407,0.216139823,1.0
52,0.358804068,0.176146793,1.0
53,0.32612514,0.100090705,1.0
54,0.29569956,0.052823558,1.0
55,0.280515438,0.034073546,1.0
56,0.27995271,0.022196,1.0
57,0.277628591,0.0117455,1.0
58,0.267587731,0.004825088,1.0
59,0.2479968,0.00257898,1.0
60,0.230566181,0.002967844,1.0
61,0.222223063,0.005236768,1.0
62,0.221801332,0.00966197,1.0
63,0.219693308,0.019844078,1.0
64,0.209603226,0.035224928,1.0
