time_index,BR_AC_Wind_Onshore_Class1,BR_AC_Wind_Onshore_Class3,BR_AL_Wind_Onshore_Class1,BR_AM_Wind_Onshore_Class3,BR_AP_Wind_Onshore_Class1,BR_AP_Wind_Onshore_Class3,BR_BA_Wind_Onshore_Class0,BR_BA_Wind_Onshore_Class1,BR_BA_Wind_Onshore_Class3,BR_CE_Wind_Onshore_Class0,BR_CE_Wind_Onshore_Class1,BR_CE_Wind_Onshore_Class3,BR_ES_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class0,BR_GO_Wind_Onshore_Class1,BR_GO_Wind_Onshore_Class2,BR_GO_Wind_Onshore_Class3,BR_MA_Wind_Onshore_Class0,BR_MA_Wind_Onshore_Class1,BR_MA_Wind_Onshore_Class3,BR_MG_Wind_Onshore_Class0,BR_MG_Wind_Onshore_Class1,BR_MG_Wind_Onshore_Class3,BR_MS_Wind_Onshore_Class0,BR_MS_Wind_Onshore_Class1,BR_MS_Wind_Onshore_Class2,BR_MS_Wind_Onshore_Class3,BR_MT_Wind_Onshore_Class0,BR_MT_Wind_Onshore_Class1,BR_MT_Wind_Onshore_Class2,BR_MT_Wind_Onshore_Class3,BR_PA_Wind_Onshore_Class0,BR_PA_Wind_Onshore_Class1,BR_PA_Wind_Onshore_Class2,BR_PA_Wind_Onshore_Class3,BR_PB_Wind_Onshore_Class0,BR_PB_Wind_Onshore_Class1,BR_PB_Wind_Onshore_Class3,BR_PE_Wind_Onshore_Class0,BR_PE_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class0,BR_PI_Wind_Onshore_Class1,BR_PI_Wind_Onshore_Class3,BR_PR_Wind_Onshore_Class0,BR_PR_Wind_Onshore_Class1,BR_PR_Wind_Onshore_Class3,BR_RJ_Wind_Onshore_Class0,BR_RJ_Wind_Onshore_Class1,BR_RN_Wind_Onshore_Class0,BR_RN_Wind_Onshore_Class1,BR_RO_Wind_Onshore_Class0,BR_RO_Wind_Onshore_Class2,BR_RO_Wind_Onshore_Class3,BR_RR_Wind_Onshore_Class2,BR_RS_Wind_Onshore_Class0,BR_RS_Wind_Onshore_Class1,BR_SC_Wind_Onshore_Class1,BR_SE_Wind_Onshore_Class1,BR_SP_Wind_Onshore_Class0,BR_SP_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class0,BR_TO_Wind_Onshore_Class1,BR_TO_Wind_Onshore_Class2,BR_TO_Wind_Onshore_Class3
1,0.019449275,0.031556522,0.283886957,0.0,0.103072464,0.102371014,0.258099948,0.313390514,0.096455556,0.141065378,0.343725362,0.129103382,0.124368116,0.150681159,0.027697959,0.005057005,0.058727174,0.048667754,0.173901754,0.110767604,0.084897723,0.017279227,0.012823188,0.106467702,0.065713926,0.087750725,0.077171014,0.133712821,0.228998507,0.018961278,0.043686106,0.010165217,0.209417805,0.002267666,0.026731723,0.274231884,0.348518841,0.095356522,0.437880745,0.259086957,0.078736678,0.141541583,0.017757101,0.094501186,0.094940787,0.070550725,0.04755942,0.0,0.150110145,0.444866667,0.185801739,0.03666087,0.060834783,0.240941615,0.39056267,0.466876908,0.182330435,0.250315942,0.087985601,0.035452685,0.041667457,0.018932947,0.026003727,0.017651594
2,0.019930435,0.035384058,0.239269565,0.0,0.123944928,0.111489855,0.282295862,0.248378656,0.102214493,0.187583897,0.314494686,0.163601932,0.08693913,0.127877939,0.021409642,0.0,0.042786232,0.05038587,0.161508162,0.110156692,0.094671754,0.015297778,0.016657208,0.133531056,0.088321361,0.138618841,0.061089855,0.124388852,0.210366623,0.020546414,0.038278647,0.015502899,0.199018634,0.002324438,0.024930757,0.303904348,0.338259903,0.128104348,0.473591304,0.227468841,0.083786548,0.124680936,0.049448696,0.129,0.110534161,0.073994203,0.024301449,0.0,0.214944928,0.452083575,0.172904348,0.035530435,0.059210995,0.234738716,0.427700307,0.467713237,0.191742029,0.184644444,0.114555774,0.052426939,0.047295389,0.014476135,0.026300207,0.018161159
3,0.018727536,0.034576812,0.19445942,0.0,0.124101449,0.104475362,0.297134835,0.190384717,0.111178261,0.259718519,0.261161111,0.132446377,0.093826087,0.104957488,0.020306773,0.0,0.037225725,0.033485507,0.124627918,0.094984655,0.101988879,0.018385121,0.015730587,0.144237888,0.099552363,0.150881159,0.038144928,0.123302564,0.189643566,0.019012412,0.035048193,0.015626087,0.141638923,0.00253973,0.027454911,0.361518841,0.317728986,0.182753623,0.485702692,0.193199275,0.082330435,0.091672241,0.045295072,0.147049802,0.127273292,0.06022029,0.019710145,0.0,0.282666667,0.443993237,0.156323478,0.03986087,0.065773113,0.232986335,0.458345015,0.457767729,0.171985507,0.135961353,0.136118934,0.056540835,0.054894862,0.018114396,0.046019048,0.01962087
4,0.016321739,0.020478261,0.150913043,0.0,0.084037681,0.094655072,0.29759993,0.141388406,0.115827536,0.264592593,0.223184058,0.115422222,0.067681159,0.094774557,0.019698314,0.0,0.025747464,0.025601449,0.092767353,0.066062575,0.091293463,0.022337778,0.014929977,0.1483706,0.099582861,0.135661594,0.038913043,0.117428094,0.163894598,0.017836641,0.030341952,0.017366667,0.102954865,0.002421389,0.028428019,0.358494203,0.279307246,0.249744928,0.487487371,0.157228261,0.062553103,0.065170569,0.039324638,0.145470092,0.135593375,0.040823188,0.022005797,0.0,0.250944928,0.404242029,0.124606377,0.026007729,0.065709145,0.221885714,0.468748704,0.44681314,0.123449275,0.093132367,0.142635998,0.062075703,0.059080896,0.037255266,0.062284679,0.020245217
5,0.011768116,0.006976812,0.111689855,0.0,0.043701449,0.072846377,0.2831956,0.112234256,0.118821739,0.201331401,0.179438889,0.133686957,0.044431884,0.105745894,0.02312724,0.0,0.024821014,0.022162681,0.068408848,0.041068372,0.075411772,0.022330435,0.012800915,0.138197723,0.09210649,0.106145652,0.065385507,0.115591081,0.148857093,0.017686065,0.027071768,0.012949275,0.087109731,0.0062005,0.020469887,0.305330435,0.238118357,0.270144928,0.500724224,0.12692029,0.060290598,0.054431215,0.041670725,0.144035573,0.134356108,0.045153623,0.007913043,0.0,0.156034783,0.349531401,0.121948986,0.030019324,0.06123938,0.208614493,0.454944401,0.416282512,0.095707246,0.068031884,0.138136512,0.059069054,0.064823188,0.049649855,0.036630228,0.022784928
6,0.012150725,0.003189855,0.079184058,0.0,0.048573913,0.064237681,0.252659193,0.087550725,0.110762802,0.145318519,0.164516184,0.145364251,0.027113043,0.11944058,0.023274771,0.00094686,0.033203986,0.018327536,0.052364607,0.027417562,0.067784206,0.025624928,0.011602136,0.130420704,0.092126906,0.086424638,0.087289855,0.113700111,0.137677997,0.018541806,0.023494106,0.01184058,0.086868737,0.008792404,0.019391143,0.256631884,0.208028019,0.198985507,0.476353623,0.098152174,0.074888294,0.049928651,0.04176058,0.145870883,0.114641822,0.051889855,0.004869565,0.0,0.114997101,0.303969565,0.100412754,0.033000966,0.050373413,0.190381781,0.417523057,0.378587053,0.093826087,0.048583575,0.131827957,0.05651526,0.054542292,0.043184928,0.018737681,0.019263768
7,0.012724638,0.004649275,0.059114493,0.0,0.079701449,0.074568116,0.215766929,0.066984453,0.084589372,0.110772303,0.147905072,0.116937198,0.013495652,0.115057649,0.027804082,0.007207729,0.03495942,0.014131522,0.030434172,0.014046377,0.066021769,0.029663575,0.012098856,0.119768323,0.095078261,0.081842754,0.080594203,0.10818194,0.12824664,0.017608324,0.020920271,0.008413043,0.083645549,0.011653773,0.015799517,0.220718841,0.191541063,0.13826087,0.411129193,0.076499275,0.087792048,0.03797592,0.022189565,0.141482477,0.104193375,0.035530435,0.010910145,0.0,0.079733333,0.276788406,0.086092754,0.03072657,0.040868166,0.180688199,0.378231357,0.333071691,0.080434783,0.035011594,0.126840767,0.049574425,0.047168379,0.033220097,0.01382795,0.012238841
8,0.012342029,0.006017391,0.045934783,0.0,0.092869565,0.112892754,0.184679797,0.050559684,0.062674879,0.07821256,0.128945411,0.075462802,0.007785507,0.103794847,0.030990831,0.011201932,0.03980942,0.016655797,0.019148131,0.005784143,0.065690269,0.034330821,0.011428833,0.110313665,0.095057089,0.070942754,0.069402899,0.097945151,0.124109442,0.015459086,0.019991652,0.007823188,0.085031056,0.011674563,0.00903591,0.169730435,0.185801449,0.08764058,0.334981366,0.056775362,0.074079376,0.030947157,0.009136232,0.133568379,0.092026915,0.01244058,0.020475362,0.0,0.092550725,0.255908696,0.072182029,0.043932367,0.035023288,0.163755694,0.349702415,0.30710686,0.087034783,0.025676329,0.119624123,0.045398124,0.044138076,0.02917913,0.005963975,0.009653333
9,0.012342029,0.008623188,0.038197101,0.0,0.091434783,0.133182609,0.1610293,0.039244532,0.043621256,0.042907568,0.114931401,0.05028599,0.004057971,0.099533655,0.033620822,0.017617391,0.044357609,0.019047826,0.01977849,0.005629668,0.065332742,0.040682705,0.010490313,0.095439337,0.085240958,0.061736232,0.048356522,0.087458194,0.123950461,0.013238499,0.019820908,0.001724638,0.077378054,0.007015492,0.003839291,0.123369565,0.178131401,0.060794203,0.270378882,0.0496,0.058863471,0.027025641,0.004702029,0.118808432,0.063934576,0.017031884,0.023536232,0.0,0.098162319,0.2386657,0.065334493,0.040983575,0.030054773,0.144687371,0.319329469,0.29028715,0.082631884,0.020507246,0.106493315,0.042171867,0.043597892,0.021498357,0.004282816,0.012302029
10,0.008324638,0.007142029,0.03454058,0.0,0.062794203,0.144185507,0.136475921,0.03276917,0.032388889,0.025622544,0.09933599,0.028498551,0.0,0.091446377,0.034018456,0.021370048,0.050553986,0.021482609,0.014381693,0.007372379,0.067305413,0.042098744,0.009299771,0.078803313,0.074553749,0.062078986,0.022344928,0.07983612,0.123984365,0.01234634,0.019880271,0.0,0.052925052,0.002973913,0.002713527,0.082762319,0.176320773,0.029756522,0.213147826,0.049631159,0.046766109,0.026289855,0.007609275,0.10877444,0.048391718,0.030237681,0.009536232,0.0,0.08764058,0.218021256,0.069162899,0.033022222,0.029444478,0.121437681,0.29824787,0.269526957,0.075333333,0.023403865,0.096787845,0.037281159,0.038329381,0.015389758,0.002459213,0.008154783
