Time_Index,Demand_Ethanol,Demand_Gasoline,Demand_Flexfuel,Demand_Jetfuel,Demand_SAF_Jetfuel,Demand_fossil_Jetfuel,Demand_Diesel,Demand_BioDiesel,Unnamed: 9,Unnamed: 10
1,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
2,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
3,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
4,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
5,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
6,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
7,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
8,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
9,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
10,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
11,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
12,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
13,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
14,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
15,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
16,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
17,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
18,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
19,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
20,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
21,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
22,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
23,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
24,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
25,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
26,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
27,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
28,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
29,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
30,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
31,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
32,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
33,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
34,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
35,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
36,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
37,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
38,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
39,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
40,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
41,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
42,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
43,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
44,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
45,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
46,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
47,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
48,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
49,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
50,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
51,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
52,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
53,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
54,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
55,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
56,14151.90536,3525.14621,24997.32521,2394.22282,598.55571,2992.77853,68072.9951209313,20570.304964195315,0.0,0.0
