Time_Index,elec_BR_AC,elec_BR_AL,elec_BR_AM,elec_BR_AP,elec_BR_BA,elec_BR_CE,elec_BR_DF,elec_BR_ES,elec_BR_GO,elec_BR_MA,elec_BR_MG,elec_BR_MS,elec_BR_MT,elec_BR_PA,elec_BR_PB,elec_BR_PE,elec_BR_PI,elec_BR_PR,elec_BR_RJ,elec_BR_RN,elec_BR_RO,elec_BR_RR,elec_BR_RS,elec_BR_SC,elec_BR_SE,elec_BR_SP,elec_BR_TO,Unnamed: 28
1,106.72429366284247,443.4064145511758,907.4007671576941,107.83920421979452,2499.271915689726,1684.5566629430361,606.1820966321918,1711.0170231055479,1727.2658473889269,987.9586482225571,7712.530039178767,1172.2237306888471,1671.5696683549315,1534.0640770920547,597.5551366048744,1490.179114699201,547.6364008123402,3901.062677813242,4681.138446977626,748.0528537381393,368.2822006176632,107.6125076436347,3977.360597903687,3276.127047653322,359.81466897514844,16089.657006192923,256.5443412899772,0.0
2,96.68894366284246,418.56103455117585,863.0297971576941,94.60738421979451,2380.923145689726,1563.4452529430364,588.3347166321918,1646.8261231055478,1620.855347388927,922.6226282225571,7458.200099178767,1097.917770688847,1614.3736683549316,1468.9944670920547,550.4149366048744,1399.703134699201,508.9293308123402,3780.9529978132423,4495.897356977625,695.5581837381393,334.0074506176632,95.4713476436347,3791.4856179036874,3156.6695176533217,336.6007289751484,15397.874186192923,235.31123128997717,0.0
3,86.06467366284247,388.8649445511758,792.2224071576941,81.34866421979451,2235.4139656897264,1432.2502329430365,531.9748666321918,1548.723863105548,1509.892437388927,868.3099682225571,7083.763949178768,1016.958890688847,1549.4117683549316,1395.773827092055,503.6943466048744,1284.3849846992007,470.0714908123402,3554.8666078132424,4118.822846977625,638.0519737381393,298.0418006176632,83.4730776436347,3553.367977903687,2955.003127653322,311.28936897514836,14143.22299619292,216.08984128997716,0.0
4,78.24928366284247,362.0403345511758,725.317947157694,71.84044421979453,2095.402705689726,1325.5784729430363,481.8571266321918,1452.0745931055478,1411.507837388927,814.794108222557,6648.439409178767,947.1017706888471,1493.1192983549315,1306.0384970920547,465.8015066048744,1184.061234699201,441.7330908123402,3319.811227813242,3768.9218669776255,590.4246137381393,269.7274806176632,74.9851476436347,3335.5325479036874,2747.4919176533217,289.1741089751484,12918.086476192922,201.43186128997715,0.0
5,76.25728366284247,369.5077845511758,743.749917157694,69.10624421979452,2150.855725689726,1327.0724229430366,481.4931666321918,1489.8494331055479,1439.1838473889268,844.4238282225571,6963.847119178768,956.968290688847,1500.9348983549314,1382.5896570920547,466.59695660487444,1197.4136346992009,434.33978081234017,3423.861937813242,3829.7473169776254,593.5221137381393,267.7851406176632,72.3011776436347,3391.392187903687,2835.821597653322,293.9388389751484,13320.650116192923,200.24668128997718,0.0
6,75.06122366284247,368.6017745511758,742.0289871576941,67.67091421979453,2151.250325689726,1317.8938529430363,478.08076663219174,1490.2174231055476,1435.074187388927,844.783498222557,6993.132209178766,953.405730688847,1497.6390783549316,1389.8520070920545,463.0581766048744,1190.7955746992009,429.64730081234023,3427.223457813242,3819.3944069776257,589.9093737381393,265.0490506176632,70.88576764363471,3386.8209079036874,2838.393877653322,293.04042897514836,13316.156486192922,198.57153128997717,0.0
7,77.16546366284246,372.46321455117584,750.314597157694,70.03142421979453,2171.008105689726,1339.5736129430366,486.5503766321918,1501.4004431055478,1453.584897388927,851.3011782225572,7018.205709178767,967.433970688847,1507.2026483549316,1393.5396970920547,471.4023966048745,1208.899754699201,436.8294308123402,3450.291757813242,3866.3438069776253,599.3991937381393,271.4598806176632,73.1656476436347,3419.928117903687,2859.0182576533216,296.9410989751484,13468.824966192922,202.33047128997717,0.0
8,80.47310366284248,373.27767455117583,764.433397157694,74.60963421979451,2184.218685689726,1377.9592829430364,502.9837866321918,1512.7295831055478,1471.883067388927,844.7049882225571,6979.929079178767,988.505060688847,1520.3184183549315,1374.7087370920547,480.7425666048744,1231.1928746992012,447.7755608123402,3485.801957813242,3965.0407769776257,614.5714337381393,280.8633006176632,76.9327776436347,3474.5812779036874,2887.5809676533217,300.76057897514835,13705.255376192923,206.72754128997715,0.0
9,116.44472366284248,493.26077455117587,1067.4530771576942,118.75072421979452,2800.715315689726,1864.7216729430365,740.8250366321919,1944.1959731055479,1906.2138173889268,1064.9634682225571,8839.230299178767,1303.194250688847,1771.0167183549318,1742.7030970920548,649.2203166048745,1679.741934699201,576.7349308123402,4536.531827813242,5593.019996977626,830.2773137381392,409.8754706176632,116.2128976436347,4447.053657903687,3808.348007653322,399.3223589751484,19272.855126192924,271.9519312899772,0.0
10,108.99196366284247,489.52195455117584,1043.5264971576942,109.60113421979452,2808.9516456897263,1811.2729029430363,680.1357466321917,1934.308403105548,1909.6914673889269,1104.0132782225571,9063.682449178768,1282.874270688847,1752.6699483549316,1827.4083270920548,634.8331266048745,1635.145394699201,552.1315708123401,4517.059637813242,5348.857216977626,809.3127837381394,391.73634061766325,107.9429876436347,4406.305497903688,3789.727887653322,396.0030689751484,18878.002666192922,265.6568812899772,0.0
11,111.85984366284247,506.1999145511758,1104.934627157694,112.47045421979452,2899.780775689726,1861.3457229430364,751.2809166321917,2017.2843531055473,1956.132067388927,1108.262598222557,9421.882459178767,1318.559120688847,1783.1782583549316,1878.8929770920547,646.9455366048744,1700.949234699201,560.3766008123401,4760.892557813242,5738.461316977626,832.0272737381393,403.6641606176632,109.9021676436347,4566.532837903687,3996.542357653322,406.7762489751484,20152.54497619292,267.65656128997716,0.0
12,125.82711366284248,541.4902245511757,1183.7014071576941,130.22722421979452,3071.249065689726,2029.6070029430366,810.0017866321919,2125.764953105548,2092.803317388927,1179.2120282225571,9814.998029178767,1419.770100688847,1863.7976383549315,1959.4936270920548,707.6208266048744,1838.630164699201,611.3344508123402,5001.175257813242,6150.967876977625,904.7753137381393,450.63451061766324,125.9089876436347,4846.634407903687,4212.4953276533215,438.0982089751484,21500.603306192923,293.0762712899772,0.0
13,109.78679366284246,488.9145445511758,1061.188207157694,110.22867421979451,2803.6521456897262,1813.1086829430365,729.9295066321919,1946.303633105548,1892.0559173889267,1064.894858222557,9000.123169178767,1279.1574306888467,1752.9860383549317,1785.227547092055,629.5428966048743,1645.7530946992008,552.7274508123402,4583.998917813242,5537.677066977625,808.3876637381393,392.89866061766327,107.91025764363471,4432.366677903688,3835.9572276533218,393.5966589751484,19326.700536192922,261.7227112899772,0.0
14,109.28133366284247,472.92614455117587,1026.818577157694,109.75589421979451,2702.667395689726,1776.4815529430364,723.8813266321919,1882.286903105548,1829.3954173889265,1014.0943482225572,8558.292289178768,1245.888660688847,1727.4290283549315,1677.5837870920548,615.2811766048744,1604.157834699201,551.0521008123401,4422.420377813242,5406.891506977626,789.4513237381392,384.8500106176632,107.7471976436347,4307.100927903688,3694.550787653322,381.4394389751484,18629.589866192924,257.1875012899772,0.0
15,107.35901366284247,488.78338455117586,1060.635717157694,107.07497421979453,2811.492685689726,1795.9222429430365,720.1050666321917,1951.0214031055477,1893.382397388927,1075.962148222557,9108.54380917877,1272.8521006888468,1749.7550683549316,1819.2962570920547,624.4925066048745,1638.489524699201,545.6462208123402,4603.717557813242,5509.071646977625,802.1649337381393,386.6271106176632,105.3561476436347,4421.853187903687,3847.0110176533217,392.81201897514836,19332.941286192923,258.5664212899772,0.0
16,104.47940366284246,482.2847745511758,1047.187607157694,103.47544421979453,2781.990085689726,1762.2263429430366,711.4578066321918,1931.9141831055479,1865.8593673889268,1061.7050882225572,9041.190179178768,1252.604820688847,1734.5894383549314,1804.710447092055,611.6646066048744,1613.6036746992008,535.0179508123401,4565.618607813241,5440.339286977626,788.0966437381394,377.8184906176632,102.1165976436347,4370.482977903687,3809.1491676533215,386.42316897514837,19104.831556192923,253.4078912899772,0.0
