Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR,aviationgasoline_price_BR,heavyfueloil_price_BR
1,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
2,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
3,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
4,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
5,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
6,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
7,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
8,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
9,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
10,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
11,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
12,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
13,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
14,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
15,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
16,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
17,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
18,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
19,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
20,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
21,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
22,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
23,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
24,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
25,31.30,100.23,10.35,20.70,8.3,38.25,52.36,66.31,1,1
