Time_Index,natgas_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
1,26.1,12.58,17.41,4.535,22.67,33.81,55.67
2,26.1,12.58,17.41,4.535,22.67,33.81,55.67
3,26.1,12.58,17.41,4.535,22.67,33.81,55.67
4,26.1,12.58,17.41,4.535,22.67,33.81,55.67
5,26.1,12.58,17.41,4.535,22.67,33.81,55.67
6,26.1,12.58,17.41,4.535,22.67,33.81,55.67
7,26.1,12.58,17.41,4.535,22.67,33.81,55.67
8,26.1,12.58,17.41,4.535,22.67,33.81,55.67
9,26.1,12.58,17.41,4.535,22.67,33.81,55.67
10,26.1,12.58,17.41,4.535,22.67,33.81,55.67
11,26.1,12.58,17.41,4.535,22.67,33.81,55.67
12,26.1,12.58,17.41,4.535,22.67,33.81,55.67
13,26.1,12.58,17.41,4.535,22.67,33.81,55.67
14,26.1,12.58,17.41,4.535,22.67,33.81,55.67
15,26.1,12.58,17.41,4.535,22.67,33.81,55.67
16,26.1,12.58,17.41,4.535,22.67,33.81,55.67
17,26.1,12.58,17.41,4.535,22.67,33.81,55.67
18,26.1,12.58,17.41,4.535,22.67,33.81,55.67
19,26.1,12.58,17.41,4.535,22.67,33.81,55.67
20,26.1,12.58,17.41,4.535,22.67,33.81,55.67
21,26.1,12.58,17.41,4.535,22.67,33.81,55.67
22,26.1,12.58,17.41,4.535,22.67,33.81,55.67
23,26.1,12.58,17.41,4.535,22.67,33.81,55.67
24,26.1,12.58,17.41,4.535,22.67,33.81,55.67
25,26.1,12.58,17.41,4.535,22.67,33.81,55.67
26,26.1,12.58,17.41,4.535,22.67,33.81,55.67
27,26.1,12.58,17.41,4.535,22.67,33.81,55.67
28,26.1,12.58,17.41,4.535,22.67,33.81,55.67
29,26.1,12.58,17.41,4.535,22.67,33.81,55.67
30,26.1,12.58,17.41,4.535,22.67,33.81,55.67
31,26.1,12.58,17.41,4.535,22.67,33.81,55.67
32,26.1,12.58,17.41,4.535,22.67,33.81,55.67
33,26.1,12.58,17.41,4.535,22.67,33.81,55.67
34,26.1,12.58,17.41,4.535,22.67,33.81,55.67
35,26.1,12.58,17.41,4.535,22.67,33.81,55.67
36,26.1,12.58,17.41,4.535,22.67,33.81,55.67
37,26.1,12.58,17.41,4.535,22.67,33.81,55.67
38,26.1,12.58,17.41,4.535,22.67,33.81,55.67
39,26.1,12.58,17.41,4.535,22.67,33.81,55.67
40,26.1,12.58,17.41,4.535,22.67,33.81,55.67
