Time_Index,natgas_price_BR,natgas_LNG_price_BR,coal_price_BR,coal_price_imported,uranium_price_BR,gasoline_fossil_price_BR,diesel_fossil_price_BR,jetfuel_fossil_price_BR
1,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
2,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
3,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
4,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
5,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
6,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
7,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
8,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
9,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
10,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
11,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
12,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
13,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
14,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
15,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
16,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
17,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
18,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
19,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
20,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
21,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
22,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
23,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
24,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
25,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
26,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
27,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
28,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
29,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
30,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
31,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
32,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
33,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
34,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
35,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
36,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
37,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
38,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
39,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
40,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
41,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
42,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
43,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
44,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
45,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
46,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
47,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
48,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
49,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
50,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
51,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
52,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
53,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
54,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
55,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
56,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
57,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
58,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
59,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
60,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
61,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
62,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
63,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
64,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
65,23.83,19.66,8.76,17.52,13.3,20.47,31.22,53.66
