time_index,BR_AC_rooftop_pv,BR_AL_rooftop_pv,BR_AM_rooftop_pv,BR_AP_rooftop_pv,BR_BA_rooftop_pv,BR_CE_rooftop_pv,BR_ES_rooftop_pv,BR_GO_rooftop_pv,BR_DF_rooftop_pv,BR_MA_rooftop_pv,BR_MG_rooftop_pv,BR_MS_rooftop_pv,BR_MT_rooftop_pv,BR_PA_rooftop_pv,BR_PB_rooftop_pv,BR_PE_rooftop_pv,BR_PI_rooftop_pv,BR_PR_rooftop_pv,BR_RJ_rooftop_pv,BR_RN_rooftop_pv,BR_RO_rooftop_pv,BR_RR_rooftop_pv,BR_RS_rooftop_pv,BR_SC_rooftop_pv,BR_SE_rooftop_pv,BR_SP_rooftop_pv,BR_TO_rooftop_pv
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0.008361667,0,0,0.003334825,0.000601845,0.007860769,0,0,0,0.002169387,0,0,0,0.007656667,0.005388167,0,0,0.0081,0.007724667,0,0,1.86E-05,0.001023406,0.00706,0.000554833,0
7,0,0.138035,0,0.000231316,0.118110968,0.074395774,0.167473846,0.049574567,0.049574567,0.041899528,0.129371355,0.01204486,0.006535734,0.003334123,0.122908667,0.110603667,0.082009549,0.030337526,0.155230833,0.131693333,0,0,0.021499406,0.09113587,0.142098333,0.06050965,0.039680477
8,0.002832381,0.311376667,0.015107312,0.063225526,0.310082033,0.235028185,0.39565,0.281735486,0.281735486,0.214277208,0.361398508,0.114355353,0.114807017,0.090221599,0.304982667,0.278458167,0.29325391,0.11587367,0.4122275,0.326071333,0.020182205,0.007044643,0.084043209,0.242900725,0.30109,0.221138088,0.237399165
9,0.079416667,0.426023333,0.088577957,0.180132105,0.488123842,0.40845997,0.574986923,0.501861818,0.501861818,0.379022202,0.562001273,0.247124762,0.275975825,0.23403794,0.434678667,0.421960333,0.484314108,0.235081925,0.608286667,0.493502667,0.111402226,0.110339643,0.180979058,0.371551957,0.461071667,0.371305206,0.447014894
10,0.225517619,0.505396667,0.167103226,0.352560526,0.62679958,0.558472738,0.696743077,0.678090077,0.678090077,0.500256267,0.720760805,0.353875677,0.409535439,0.382831213,0.577656667,0.547054,0.619301195,0.26499968,0.760218333,0.65133,0.232139509,0.278995357,0.297905664,0.539594565,0.536343333,0.465810415,0.624611884
11,0.419978571,0.535483333,0.26230871,0.410151579,0.674174313,0.637004881,0.757418462,0.796827193,0.796827193,0.551523305,0.817319368,0.483675041,0.538502392,0.465818983,0.680414,0.607445,0.662003179,0.278186752,0.8613475,0.752356667,0.38039453,0.372786786,0.385386102,0.61653587,0.620125,0.621783763,0.670533832
