Type,id,co2_sink,transforms--emission_rate,edges--fuel_edge--commodity,edges--fuel_edge--unidirectional,edges--fuel_edge--has_capacity,edges--fuel_edge--start_vertex,edges--fuel_demand_edge--commodity,edges--fuel_demand_edge--unidirectional,edges--fuel_demand_edge--has_capacity,edges--fuel_demand_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--end_vertex
FuelsEndUse,BR_N_Bagasse_notused,co2_sink,1.558,Bagasse,TRUE,FALSE,bagasse_BR_N,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_Bagasse_notused,co2_sink,1.558,Bagasse,TRUE,FALSE,bagasse_BR_NE,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_Bagasse_notused,co2_sink,1.558,Bagasse,TRUE,FALSE,bagasse_BR_CW,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_Bagasse_notused,co2_sink,1.558,Bagasse,TRUE,FALSE,bagasse_BR_SE,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_Bagasse_notused,co2_sink,1.558,Bagasse,TRUE,FALSE,bagasse_BR_S,Bagasse,TRUE,FALSE,bagasse_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_N,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_NE,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_CW,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_SE,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_Sugarcane_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_harvested_BR_S,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_Ammonia_Use,co2_sink,0,Ammonia,TRUE,FALSE,nh3_BR,Ammonia,TRUE,FALSE,nh3_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_Hydrogen_Use,co2_sink,0,Hydrogen,TRUE,FALSE,h2_BR,Hydrogen,TRUE,FALSE,h2_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_GreenDiesel_Use,co2_sink,0.25,GreenDiesel,TRUE,FALSE,greendiesel_BR,GreenDiesel,TRUE,FALSE,greendiesel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_Gasoline_Use,co2_sink,0.24,Gasoline,TRUE,FALSE,gasoline_BR,Gasoline,TRUE,FALSE,gasoline_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_EthanolEndUse,co2_sink,0.232,Ethanol,TRUE,FALSE,ethanol_BR,Ethanol,TRUE,FALSE,ethanol_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_Biomethane_Use,co2_sink,0.18,Biomethane,TRUE,FALSE,ch4_BR,Biomethane,TRUE,FALSE,ch4_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_BioDiesel_Use,co2_sink,0.253,BioDiesel,TRUE,FALSE,biodiesel_BR,BioDiesel,TRUE,FALSE,biodiesel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_JetFuel_Use,co2_sink,0.258,JetFuel,TRUE,FALSE,jetfuel_BR,JetFuel,TRUE,FALSE,jetfuel_demand_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_Soybean_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_harvested_BR_N,Corn,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_Soybean_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_harvested_BR_NE,Corn,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_Soybean_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_harvested_BR_CW,Corn,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_Soybean_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_harvested_BR_SE,Corn,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_Soybean_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_harvested_BR_S,Corn,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_Corn_notused,co2_sink,0,Corn,TRUE,FALSE,corn_harvested_BR_N,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_Corn_notused,co2_sink,0,Corn,TRUE,FALSE,corn_harvested_BR_NE,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_Corn_notused,co2_sink,0,Corn,TRUE,FALSE,corn_harvested_BR_CW,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_Corn_notused,co2_sink,0,Corn,TRUE,FALSE,corn_harvested_BR_SE,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_Corn_notused,co2_sink,0,Corn,TRUE,FALSE,corn_harvested_BR_S,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_soybean_residue_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_residue_processed_BR_N,Soybean,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_soybean_residue_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_residue_processed_BR_NE,Soybean,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_soybean_residue_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_residue_processed_BR_CW,Soybean,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_soybean_residue_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_residue_processed_BR_SE,Soybean,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_soybean_residue_notused,co2_sink,0,Soybean,TRUE,FALSE,soybean_residue_processed_BR_S,Soybean,TRUE,FALSE,soybean_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_sugarcane_straw_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_straw_processed_BR_N,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_sugarcane_straw_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_straw_processed_BR_NE,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_sugarcane_straw_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_straw_processed_BR_CW,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_sugarcane_straw_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_straw_processed_BR_SE,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_sugarcane_straw_notused,co2_sink,0,Sugarcane,TRUE,FALSE,sugarcane_straw_processed_BR_S,Sugarcane,TRUE,FALSE,sugarcane_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_N_corn_stover_notused,co2_sink,0,Corn,TRUE,FALSE,corn_stover_processed_BR_N,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_NE_corn_stover_notused,co2_sink,0,Corn,TRUE,FALSE,corn_stover_processed_BR_NE,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_CW_corn_stover_notused,co2_sink,0,Corn,TRUE,FALSE,corn_stover_processed_BR_CW,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_SE_corn_stover_notused,co2_sink,0,Corn,TRUE,FALSE,corn_stover_processed_BR_SE,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
FuelsEndUse,BR_S_corn_stover_notused,co2_sink,0,Corn,TRUE,FALSE,corn_stover_processed_BR_S,Corn,TRUE,FALSE,corn_notused_BR,CO2,TRUE,FALSE,co2_sink
