Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--ch4_production,transforms--electricity_consumption,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--ch4_edge--commodity,edges--ch4_edge--unidirectional,edges--ch4_edge--has_capacity,edges--ch4_edge--end_vertex,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--start_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSBiomethane,BR_N_CowManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,CowManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,cowmanure_BR_N,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_NE_CowManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,CowManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,cowmanure_BR_NE,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_CW_CowManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,CowManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,cowmanure_BR_CW,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_SE_CowManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,CowManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,cowmanure_BR_SE,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_S_CowManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,CowManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,cowmanure_BR_S,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_N_PoultryManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,PoultryManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,poultrymanure_BR_N,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_NE_PoultryManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,PoultryManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,poultrymanure_BR_NE,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_CW_PoultryManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,PoultryManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,poultrymanure_BR_CW,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_SE_PoultryManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,PoultryManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,poultrymanure_BR_SE,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
BECCSBiomethane,BR_S_PoultryManure_Digester,Biomass,TRUE,2.36,0.1,0,1.76,1.338,PoultryManure,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,poultrymanure_BR_S,0.4,5842665.368,233705.5022,0.662,0,system/availability.csv,Availability_One,Biomethane,TRUE,FALSE,ch4_BR,Electricity,TRUE,FALSE,elec_BR,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_BR
