Type,id,transforms--timedata,transforms--constraints--BalanceConstraint,transforms--electricity_production,transforms--capture_rate,transforms--co2_content,transforms--emission_rate,edges--biomass_edge--commodity,edges--biomass_edge--unidirectional,edges--biomass_edge--has_capacity,edges--biomass_edge--can_expand,edges--biomass_edge--can_retire,edges--biomass_edge--lifetime,edges--biomass_edge--retirement_period,edges--biomass_edge--integer_decisions,edges--biomass_edge--constraints--CapacityConstraint,edges--biomass_edge--start_vertex,edges--biomass_edge--capacity_size,edges--biomass_edge--investment_cost,edges--biomass_edge--fixed_om_cost,edges--biomass_edge--variable_om_cost,edges--biomass_edge--existing_capacity,edges--biomass_edge--availability--timeseries--path,edges--biomass_edge--availability--timeseries--header,edges--elec_edge--commodity,edges--elec_edge--unidirectional,edges--elec_edge--has_capacity,edges--elec_edge--end_vertex,edges--co2_edge--commodity,edges--co2_edge--unidirectional,edges--co2_edge--has_capacity,edges--co2_edge--start_vertex,edges--co2_emission_edge--commodity,edges--co2_emission_edge--unidirectional,edges--co2_emission_edge--has_capacity,edges--co2_emission_edge--end_vertex,edges--co2_captured_edge--commodity,edges--co2_captured_edge--unidirectional,edges--co2_captured_edge--has_capacity,edges--co2_captured_edge--end_vertex
BECCSElectricity,BR_N_bagasse_power_plant,Biomass,TRUE,1.2,0,1.558,1.558,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_N,14.21,28978807.95,1159151.431,1073.746507,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_N
BECCSElectricity,BR_NE_bagasse_power_plant,Biomass,TRUE,1.2,0,1.558,1.558,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_NE,14.21,28978807.95,1159151.431,1073.746507,54083,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_NE
BECCSElectricity,BR_CW_bagasse_power_plant,Biomass,TRUE,1.2,0,1.558,1.558,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_MW,14.21,28978807.95,1159151.431,1073.746507,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_MW,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_MW
BECCSElectricity,BR_SE_bagasse_power_plant,Biomass,TRUE,1.2,0,1.558,1.558,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_SE,14.21,28978807.95,1159151.431,1073.746507,690528,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_SE
BECCSElectricity,BR_S_bagasse_power_plant,Biomass,TRUE,1.2,0,1.558,1.558,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_S,14.21,28978807.95,1159151.431,1073.746507,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_S
BECCSElectricity,BR_N_BECCS_bagasse_power_plant,Biomass,TRUE,0.87,1.403,1.558,0.159,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_N,14.21,29661556.79,1366462.387,3466.53,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_N,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_N
BECCSElectricity,BR_NE_BECCS_bagasse_power_plant,Biomass,TRUE,0.87,1.403,1.558,0.159,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_NE,14.21,29661556.79,1366462.387,3466.53,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_NE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_NE
BECCSElectricity,BR_CW_BECCS_bagasse_power_plant,Biomass,TRUE,0.87,1.403,1.558,0.159,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_MW,14.21,29661556.79,1366462.387,3466.53,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_MW,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_MW
BECCSElectricity,BR_SE_BECCS_bagasse_power_plant,Biomass,TRUE,0.87,1.403,1.558,0.159,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_SE,14.21,29661556.79,1366462.387,3466.53,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_SE,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_SE
BECCSElectricity,BR_S_BECCS_bagasse_power_plant,Biomass,TRUE,0.87,1.403,1.558,0.159,Bagasse,TRUE,TRUE,TRUE,TRUE,50,50,FALSE,TRUE,bagasse_S,14.21,29661556.79,1366462.387,3466.53,0,system/availability.csv,Availability_One,Electricity,TRUE,FALSE,elec_S,CO2,TRUE,FALSE,co2_sink,CO2,TRUE,FALSE,co2_sink,CO2Captured,TRUE,FALSE,co2_captured_S
