Time_Index,natgas_NE,coal_NE,coal_S
1,12.55668122,5,5
2,12.55668122,5,5
3,12.55668122,5,5
4,12.55668122,5,5
5,12.55668122,5,5
6,12.55668122,5,5
7,12.55668122,5,5
8,12.55668122,5,5
9,12.55668122,5,5
10,12.55668122,5,5
11,12.55668122,5,5
12,12.55668122,5,5
13,12.55668122,5,5
14,12.55668122,5,5
15,12.55668122,5,5
16,12.55668122,5,5
17,12.55668122,5,5
18,12.55668122,5,5
19,12.55668122,5,5
20,12.55668122,5,5
21,12.55668122,5,5
22,12.55668122,5,5
23,12.55668122,5,5
24,12.55668122,5,5
25,12.55668122,5,5
26,12.55668122,5,5
27,12.55668122,5,5
28,12.55668122,5,5
29,12.55668122,5,5
30,12.55668122,5,5
31,12.55668122,5,5
32,12.55668122,5,5
33,12.55668122,5,5
34,12.55668122,5,5
35,12.55668122,5,5
36,12.55668122,5,5
37,12.55668122,5,5
38,12.55668122,5,5
39,12.55668122,5,5
40,12.55668122,5,5
41,12.55668122,5,5
42,12.55668122,5,5
43,12.55668122,5,5
44,12.55668122,5,5
45,12.55668122,5,5
46,12.55668122,5,5
47,12.55668122,5,5
48,12.55668122,5,5
49,12.55668122,5,5
50,12.55668122,5,5
51,12.55668122,5,5
52,12.55668122,5,5
53,12.55668122,5,5
54,12.55668122,5,5
55,12.55668122,5,5
56,12.55668122,5,5
57,12.55668122,5,5
58,12.55668122,5,5
59,12.55668122,5,5
60,12.55668122,5,5
61,12.55668122,5,5
62,12.55668122,5,5
63,12.55668122,5,5
64,12.55668122,5,5
65,12.55668122,5,5
66,12.55668122,5,5
67,12.55668122,5,5
68,12.55668122,5,5
69,12.55668122,5,5
70,12.55668122,5,5
71,12.55668122,5,5
72,12.55668122,5,5
73,12.55668122,5,5
74,12.55668122,5,5
75,12.55668122,5,5
76,12.55668122,5,5
77,12.55668122,5,5
78,12.55668122,5,5
79,12.55668122,5,5
80,12.55668122,5,5
81,12.55668122,5,5
82,12.55668122,5,5
83,12.55668122,5,5
84,12.55668122,5,5
85,12.55668122,5,5
86,12.55668122,5,5
87,12.55668122,5,5
88,12.55668122,5,5
89,12.55668122,5,5
90,12.55668122,5,5
91,12.55668122,5,5
92,12.55668122,5,5
93,12.55668122,5,5
94,12.55668122,5,5
95,12.55668122,5,5
96,12.55668122,5,5
97,12.55668122,5,5
98,12.55668122,5,5
99,12.55668122,5,5
100,12.55668122,5,5
101,12.55668122,5,5
102,12.55668122,5,5
103,12.55668122,5,5
104,12.55668122,5,5
105,12.55668122,5,5
106,12.55668122,5,5
107,12.55668122,5,5
108,12.55668122,5,5
109,12.55668122,5,5
110,12.55668122,5,5
111,12.55668122,5,5
112,12.55668122,5,5
113,12.55668122,5,5
114,12.55668122,5,5
115,12.55668122,5,5
116,12.55668122,5,5
117,12.55668122,5,5
118,12.55668122,5,5
119,12.55668122,5,5
120,12.55668122,5,5
121,12.55668122,5,5
122,12.55668122,5,5
123,12.55668122,5,5
124,12.55668122,5,5
125,12.55668122,5,5
126,12.55668122,5,5
127,12.55668122,5,5
128,12.55668122,5,5
129,12.55668122,5,5
130,12.55668122,5,5
131,12.55668122,5,5
132,12.55668122,5,5
133,12.55668122,5,5
134,12.55668122,5,5
135,12.55668122,5,5
136,12.55668122,5,5
137,12.55668122,5,5
138,12.55668122,5,5
139,12.55668122,5,5
140,12.55668122,5,5
141,12.55668122,5,5
142,12.55668122,5,5
143,12.55668122,5,5
144,12.55668122,5,5
145,12.55668122,5,5
146,12.55668122,5,5
147,12.55668122,5,5
148,12.55668122,5,5
149,12.55668122,5,5
150,12.55668122,5,5
151,12.55668122,5,5
152,12.55668122,5,5
153,12.55668122,5,5
154,12.55668122,5,5
155,12.55668122,5,5
156,12.55668122,5,5
157,12.55668122,5,5
158,12.55668122,5,5
159,12.55668122,5,5
160,12.55668122,5,5
161,12.55668122,5,5
162,12.55668122,5,5
163,12.55668122,5,5
164,12.55668122,5,5
165,12.55668122,5,5
166,12.55668122,5,5
167,12.55668122,5,5
168,12.55668122,5,5
169,12.55668122,5,5
170,12.55668122,5,5
171,12.55668122,5,5
172,12.55668122,5,5
173,12.55668122,5,5
174,12.55668122,5,5
175,12.55668122,5,5
176,12.55668122,5,5
177,12.55668122,5,5
178,12.55668122,5,5
179,12.55668122,5,5
180,12.55668122,5,5
181,12.55668122,5,5
182,12.55668122,5,5
183,12.55668122,5,5
184,12.55668122,5,5
185,12.55668122,5,5
186,12.55668122,5,5
187,12.55668122,5,5
188,12.55668122,5,5
189,12.55668122,5,5
190,12.55668122,5,5
191,12.55668122,5,5
192,12.55668122,5,5
193,12.55668122,5,5
194,12.55668122,5,5
195,12.55668122,5,5
196,12.55668122,5,5
197,12.55668122,5,5
198,12.55668122,5,5
199,12.55668122,5,5
200,12.55668122,5,5
201,12.55668122,5,5
