elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,elec_demand_MW
7850,2242,1070,1070,2242
7424,2120,1012,1012,2120
7107,2029,969,969,2029
6947,1984,947,947,1984
6922,1977,944,944,1977
7045,2012,960,960,2012
7307,2087,996,996,2087
7544,2154,1029,1029,2154
7946,2269,1083,1083,2269
8340,2382,1137,1137,2382
8578,2449,1169,1169,2449
8666,2474,1181,1181,2474
8707,2487,1187,1187,2487
8630,2464,1176,1176,2464
8544,2440,1165,1165,2440
8594,2454,1171,1171,2454
9431,2693,1286,1286,2693
10225,2920,1394,1394,2920
10165,2903,1386,1386,2903
9854,2815,1343,1343,2815
9490,2710,1294,1294,2710
8982,2565,1225,1225,2565
8353,2385,1139,1139,2385
7648,2184,1042,1042,2184
7051,2013,961,961,2013
6689,1910,912,912,1910
6515,1861,888,888,1861
6476,1849,883,883,1849
6618,1890,902,902,1890
6980,1993,951,951,1993
7523,2148,1025,1025,2148
7968,2275,1086,1086,2275
8513,2431,1161,1161,2431
9072,2591,1236,1236,2591
9482,2708,1292,1292,2708
9650,2755,1316,1316,2755
9635,2751,1313,1313,2751
9572,2734,1305,1305,2734
9542,2725,1301,1301,2725
9687,2766,1321,1321,2766
10596,3026,1444,1444,3026
11515,3289,1570,1570,3289
11414,3260,1556,1556,3260
11138,3181,1519,1519,3181
10688,3052,1457,1457,3052
9979,2850,1360,1360,2850
9100,2599,1241,1241,2599
8304,2372,1132,1132,2372
7776,2221,1060,1060,2221
7513,2145,1024,1024,2145
7386,2109,1007,1007,2109
7401,2114,1009,1009,2114
7667,2189,1045,1045,2189
8455,2414,1152,1152,2414
9848,2812,1343,1343,2812
10629,3035,1449,1449,3035
10761,3073,1467,1467,3073
10835,3094,1477,1477,3094
10932,3122,1490,1490,3122
10950,3127,1493,1493,3127
10905,3115,1487,1487,3115
10890,3111,1484,1484,3111
10849,3098,1479,1479,3098
10999,3141,1499,1499,3141
11858,3386,1616,1616,3386
12796,3654,1745,1745,3654
12821,3661,1748,1748,3661
12605,3600,1719,1719,3600
12195,3483,1663,1663,3483
11476,3277,1565,1565,3277
10515,3003,1434,1434,3003
9674,2763,1319,1319,2763
9151,2614,1247,1247,2614
8876,2535,1210,1210,2535
8736,2495,1191,1191,2495
8752,2499,1193,1193,2499
8990,2568,1226,1226,2568
9733,2780,1327,1327,2780
11084,3166,1511,1511,3166
11820,3376,1611,1611,3376
11834,3380,1614,1614,3380
11803,3371,1609,1609,3371
11777,3363,1605,1605,3363
11661,3330,1590,1590,3330
11494,3283,1567,1567,3283
11395,3255,1554,1554,3255
11306,3229,1541,1541,3229
11423,3262,1557,1557,3262
12221,3491,1666,1666,3491
12871,3676,1755,1755,3676
12772,3647,1741,1741,3647
12474,3562,1701,1701,3562
11997,3426,1635,1635,3426
11207,3201,1528,1528,3201
10201,2914,1391,1391,2914
9270,2648,1264,1264,2648
8676,2478,1182,1182,2478
8358,2387,1140,1140,2387
8198,2341,1117,1117,2341
8168,2333,1114,1114,2333
8378,2393,1142,1142,2393
9065,2589,1236,1236,2589
10371,2962,1414,1414,2962
11136,3181,1518,1518,3181
11217,3204,1530,1530,3204
11267,3218,1536,1536,3218
11216,3203,1530,1530,3203
11059,3159,1508,1508,3159
10923,3119,1489,1489,3119
10869,3104,1482,1482,3104
10783,3080,1470,1470,3080
10853,3100,1479,1479,3100
11542,3296,1574,1574,3296
12297,3512,1676,1676,3512
12252,3499,1671,1671,3499
11974,3420,1632,1632,3420
11527,3292,1571,1571,3292
10788,3081,1471,1471,3081
9795,2797,1335,1335,2797
8937,2553,1218,1218,2553
8376,2392,1141,1141,2392
8071,2305,1100,1100,2305
7915,2260,1079,1079,2260
7876,2249,1074,1074,2249
8068,2304,1100,1100,2304
8750,2499,1193,1193,2499
10032,2865,1368,1368,2865
10800,3085,1473,1473,3085
10890,3110,1484,1484,3110
10901,3113,1486,1486,3113
10853,3100,1479,1479,3100
10692,3053,1458,1458,3053
10515,3003,1434,1434,3003
10423,2976,1421,1421,2976
10278,2935,1401,1401,2935
10327,2950,1408,1408,2950
10930,3121,1490,1490,3121
11507,3286,1569,1569,3286
11322,3234,1544,1544,3234
10996,3140,1499,1499,3140
10561,3016,1440,1440,3016
9994,2855,1363,1363,2855
9224,2635,1257,1257,2635
8432,2408,1150,1150,2408
7819,2234,1066,1066,2234
7480,2136,1020,1020,2136
7296,2083,994,994,2083
7221,2063,984,984,2063
7293,2083,994,994,2083
7571,2162,1032,1032,2162
8073,2305,1100,1100,2305
8602,2456,1172,1172,2456
9143,2611,1247,1247,2611
9471,2704,1291,1291,2704
9563,2731,1303,1303,2731
9486,2709,1293,1293,2709
9312,2659,1269,1269,2659
9115,2603,1242,1242,2603
8976,2564,1224,1224,2564
9072,2591,1236,1236,2591
9736,2780,1328,1328,2780
10403,2970,1418,1418,2970
10280,2936,1402,1402,2936
9950,2842,1357,1357,2842
9638,2752,1314,1314,2752
9187,2624,1252,1252,2624
8597,2455,1172,1172,2455
7948,2270,1084,1084,2270
7404,2114,1010,1010,2114
7089,2024,966,966,2024
6902,1971,941,941,1971
6852,1957,934,934,1957
6904,1972,941,941,1972
7105,2029,969,969,2029
7494,2140,1021,1021,2140
7901,2256,1077,1077,2256
8468,2418,1154,1154,2418
8906,2544,1214,1214,2544
9183,2623,1252,1252,2623
9356,2672,1276,1276,2672
9386,2680,1280,1280,2680
9334,2665,1272,1272,2665
9301,2656,1268,1268,2656
9431,2694,1286,1286,2694
10240,2925,1396,1396,2925
11081,3165,1511,1511,3165
11064,3160,1509,1509,3160
10779,3078,1469,1469,3078
10405,2971,1418,1418,2971
9791,2796,1335,1335,2796
8983,2565,1225,1225,2565
8276,2364,1128,1128,2364
7813,2231,1065,1065,2231
7590,2168,1035,1035,2168
7507,2144,1024,1024,2144
7536,2152,1027,1027,2152
7808,2230,1065,1065,2230
8592,2454,1171,1171,2454
10003,2857,1363,1363,2857
10818,3090,1475,1475,3090
10898,3112,1486,1486,3112
10909,3115,1487,1487,3115
10903,3114,1487,1487,3114
10810,3087,1474,1474,3087
10627,3035,1449,1449,3035
10513,3002,1434,1434,3002
10366,2960,1414,1414,2960
10401,2970,1418,1418,2970
11101,3170,1514,1514,3170
12044,3440,1642,1642,3440
12015,3431,1638,1638,3431
11693,3339,1594,1594,3339
11225,3205,1530,1530,3205
10453,2985,1425,1425,2985
9470,2704,1291,1291,2704
8600,2456,1172,1172,2456
8029,2293,1095,1095,2293
7745,2212,1055,1055,2212
7589,2167,1035,1035,2167
7578,2164,1033,1033,2164
7797,2227,1063,1063,2227
8521,2434,1161,1161,2434
9893,2825,1349,1349,2825
10626,3035,1449,1449,3035
10665,3046,1454,1454,3046
10719,3061,1461,1461,3061
10723,3062,1462,1462,3062
10619,3033,1448,1448,3033
10444,2983,1424,1424,2983
10355,2957,1412,1412,2957
10262,2930,1399,1399,2930
10332,2950,1408,1408,2950
11008,3144,1501,1501,3144
11778,3363,1605,1605,3363
11691,3339,1594,1594,3339
11401,3256,1555,1555,3256
10973,3134,1496,1496,3134
10250,2927,1398,1398,2927
9297,2655,1267,1267,2655
8468,2418,1154,1154,2418
7942,2269,1083,1083,2269
7679,2193,1047,1047,2193
7558,2158,1030,1030,2158
7592,2168,1035,1035,2168
7830,2236,1067,1067,2236
8613,2459,1174,1174,2459
9991,2854,1363,1363,2854
10722,3062,1462,1462,3062
10723,3062,1462,1462,3062
10659,3044,1453,1453,3044
10621,3033,1448,1448,3033
10536,3009,1436,1436,3009
10388,2966,1416,1416,2966
10328,2950,1408,1408,2950
10230,2921,1394,1394,2921
10299,2941,1404,1404,2941
10965,3131,1495,1495,3131
11781,3365,1606,1606,3365
11737,3352,1600,1600,3352
11448,3270,1560,1560,3270
11009,3144,1501,1501,3144
10255,2929,1398,1398,2929
9275,2649,1265,1265,2649
8412,2402,1146,1146,2402
7842,2239,1069,1069,2239
7529,2150,1026,1026,2150
7381,2108,1006,1006,2108
7378,2107,1005,1005,2107
7607,2172,1037,1037,2172
8322,2376,1135,1135,2376
9608,2744,1310,1310,2744
10497,2998,1431,1431,2998
10744,3068,1464,1464,3068
10919,3119,1489,1489,3119
11073,3162,1509,1509,3162
11112,3173,1515,1515,3173
11068,3161,1509,1509,3161
11019,3147,1502,1502,3147
10873,3105,1482,1482,3105
10847,3098,1479,1479,3098
11364,3246,1550,1550,3246
11951,3413,1630,1630,3413
11830,3378,1613,1613,3378
11479,3278,1565,1565,3278
10997,3140,1499,1499,3140
10224,2920,1393,1393,2920
9251,2642,1261,1261,2642
8405,2400,1146,1146,2400
7811,2231,1065,1065,2231
7513,2145,1024,1024,2145
7371,2105,1004,1004,2105
7344,2098,1001,1001,2098
7542,2154,1028,1028,2154
8217,2347,1120,1120,2347
9501,2713,1295,1295,2713
10340,2953,1409,1409,2953
10503,3000,1432,1432,3000
10548,3012,1438,1438,3012
10562,3016,1440,1440,3016
10516,3003,1434,1434,3003
10420,2976,1421,1421,2976
10378,2964,1415,1415,2964
10339,2953,1409,1409,2953
10489,2995,1430,1430,2995
11141,3182,1519,1519,3182
11795,3369,1608,1608,3369
11688,3338,1594,1594,3338
11389,3253,1553,1553,3253
11010,3145,1501,1501,3145
10445,2983,1424,1424,2983
9687,2766,1321,1321,2766
8931,2550,1217,1217,2550
8341,2382,1137,1137,2382
7996,2284,1090,1090,2284
7802,2229,1064,1064,2229
7742,2211,1055,1055,2211
7823,2234,1066,1066,2234
8097,2313,1104,1104,2313
8611,2459,1174,1174,2459
9128,2607,1244,1244,2607
9713,2774,1324,1324,2774
10173,2905,1387,1387,2905
10367,2960,1414,1414,2960
10302,2942,1404,1404,2942
10138,2895,1383,1383,2895
9948,2841,1356,1356,2841
9858,2815,1344,1344,2815
9938,2838,1355,1355,2838
10586,3023,1444,1444,3023
11470,3276,1564,1564,3276
11467,3275,1564,1564,3275
11210,3201,1529,1529,3201
10857,3101,1480,1480,3101
10427,2978,1422,1422,2978
9916,2832,1352,1352,2832
9321,2662,1271,1271,2662
8761,2502,1195,1195,2502
8426,2406,1149,1149,2406
8290,2368,1130,1130,2368
8274,2363,1128,1128,2363
8367,2389,1140,1140,2389
8600,2456,1172,1172,2456
9002,2571,1227,1227,2571
9436,2694,1287,1287,2694
10049,2870,1370,1370,2870
10510,3001,1433,1433,3001
10762,3073,1467,1467,3073
10846,3097,1479,1479,3097
10837,3095,1478,1478,3095
10727,3064,1463,1463,3064
10661,3045,1454,1454,3045
10747,3069,1465,1465,3069
11443,3268,1560,1560,3268
12353,3528,1684,1684,3528
12368,3532,1686,1686,3532
12024,3434,1640,1640,3434
11680,3336,1592,1592,3336
11098,3170,1513,1513,3170
10403,2971,1418,1418,2971
9707,2772,1323,1323,2772
9218,2633,1257,1257,2633
8963,2559,1222,1222,2559
8860,2530,1208,1208,2530
8864,2532,1208,1208,2532
9069,2590,1236,1236,2590
9604,2743,1309,1309,2743
10488,2995,1430,1430,2995
11139,3181,1519,1519,3181
11587,3309,1580,1580,3309
11837,3381,1614,1614,3381
11933,3408,1627,1627,3408
11838,3381,1614,1614,3381
11648,3326,1588,1588,3326
11515,3289,1570,1570,3289
11370,3247,1550,1550,3247
11392,3254,1553,1553,3254
11972,3419,1632,1632,3419
12745,3640,1737,1737,3640
12604,3600,1718,1718,3600
12223,3491,1666,1666,3491
11668,3332,1590,1590,3332
10868,3104,1482,1482,3104
9911,2830,1351,1351,2830
9028,2579,1231,1231,2579
8422,2405,1148,1148,2405
8080,2308,1101,1101,2308
7926,2264,1080,1080,2264
7885,2252,1075,1075,2252
8084,2309,1102,1102,2309
8771,2504,1196,1196,2504
10017,2861,1366,1366,2861
10748,3070,1465,1465,3070
10856,3101,1480,1480,3101
10861,3101,1480,1480,3101
10853,3100,1479,1479,3100
10811,3087,1474,1474,3087
10754,3071,1466,1466,3071
10741,3068,1464,1464,3068
10705,3057,1459,1459,3057
10808,3086,1474,1474,3086
11408,3258,1555,1555,3258
11990,3424,1635,1635,3424
11823,3376,1612,1612,3376
11467,3275,1563,1563,3275
10936,3124,1491,1491,3124
10145,2897,1383,1383,2897
9158,2615,1248,1248,2615
8270,2362,1127,1127,2362
7673,2191,1046,1046,2191
7368,2104,1004,1004,2104
7210,2059,983,983,2059
7192,2054,980,980,2054
7428,2121,1013,1013,2121
8195,2340,1117,1117,2340
9601,2742,1309,1309,2742
10337,2952,1409,1409,2952
10414,2974,1419,1419,2974
10477,2992,1428,1428,2992
10558,3015,1439,1439,3015
10563,3017,1440,1440,3017
10514,3003,1434,1434,3003
10502,3000,1432,1432,3000
10452,2985,1425,1425,2985
10540,3010,1437,1437,3010
11167,3189,1523,1523,3189
12222,3491,1666,1666,3491
12311,3516,1679,1679,3516
12097,3455,1649,1649,3455
11681,3336,1592,1592,3336
10975,3135,1496,1496,3135
10076,2878,1373,1373,2878
9249,2641,1261,1261,2641
8734,2494,1191,1191,2494
8488,2424,1157,1157,2424
8386,2395,1143,1143,2395
8405,2400,1146,1146,2400
8672,2476,1182,1182,2476
9446,2698,1288,1288,2698
10860,3101,1480,1480,3101
11601,3313,1581,1581,3313
11633,3322,1586,1586,3322
11574,3306,1578,1578,3306
11511,3287,1570,1570,3287
11368,3246,1550,1550,3246
11190,3196,1525,1525,3196
11078,3164,1510,1510,3164
10946,3126,1493,1493,3126
11021,3148,1503,1503,3148
11577,3306,1579,1579,3306
12352,3528,1684,1684,3528
12330,3521,1681,1681,3521
12117,3461,1652,1652,3461
11631,3322,1585,1585,3322
10865,3103,1481,1481,3103
9900,2827,1350,1350,2827
9025,2578,1231,1231,2578
8434,2409,1150,1150,2409
8100,2314,1105,1105,2314
7947,2269,1083,1083,2269
7913,2260,1079,1079,2260
8152,2329,1111,1111,2329
8866,2532,1209,1209,2532
10188,2910,1389,1389,2910
10891,3111,1484,1484,3111
10970,3133,1495,1495,3133
11002,3142,1500,1500,3142
11033,3151,1504,1504,3151
10988,3138,1498,1498,3138
10865,3103,1481,1481,3103
10786,3081,1470,1470,3081
10656,3043,1453,1453,3043
10674,3049,1455,1455,3049
11148,3184,1520,1520,3184
12025,3435,1640,1640,3435
11980,3421,1633,1633,3421
11686,3337,1593,1593,3337
11305,3229,1541,1541,3229
10761,3073,1467,1467,3073
10019,2861,1366,1366,2861
9243,2639,1260,1260,2639
8690,2482,1185,1185,2482
8380,2393,1142,1142,2393
8190,2339,1116,1116,2339
8116,2318,1106,1106,2318
8185,2338,1116,1116,2338
8450,2414,1152,1152,2414
8973,2563,1223,1223,2563
9596,2740,1308,1308,2740
10290,2939,1403,1403,2939
10895,3111,1485,1485,3111
11267,3218,1536,1536,3218
11426,3263,1558,1558,3263
11425,3263,1558,1558,3263
11280,3221,1538,1538,3221
11096,3169,1513,1513,3169
11018,3146,1502,1502,3146
11439,3266,1560,1560,3266
12161,3473,1658,1658,3473
12036,3437,1641,1641,3437
11619,3318,1584,1584,3318
11190,3195,1525,1525,3195
10634,3037,1449,1449,3037
9951,2842,1357,1357,2842
9283,2651,1266,1266,2651
8761,2502,1195,1195,2502
8474,2420,1156,1156,2420
8336,2380,1136,1136,2380
8275,2364,1128,1128,2364
8330,2379,1136,1136,2379
8557,2444,1166,1166,2444
8959,2559,1222,1222,2559
9399,2684,1282,1282,2684
9982,2850,1361,1361,2850
10341,2953,1410,1410,2953
10483,2994,1429,1429,2994
10481,2993,1428,1428,2993
10418,2975,1420,1420,2975
10339,2953,1409,1409,2953
10308,2944,1405,1405,2944
10326,2949,1408,1408,2949
10808,3086,1474,1474,3086
11527,3292,1571,1571,3292
11531,3293,1572,1572,3293
11320,3233,1544,1544,3233
10905,3115,1487,1487,3115
10222,2920,1393,1393,2920
9458,2701,1289,1289,2701
8683,2479,1184,1184,2479
8126,2321,1108,1108,2321
7842,2239,1069,1069,2239
7727,2207,1054,1054,2207
7733,2209,1055,1055,2209
7973,2277,1087,1087,2277
8704,2485,1186,1186,2485
10034,2865,1368,1368,2865
10781,3079,1469,1469,3079
10942,3126,1492,1492,3126
11033,3151,1504,1504,3151
