Time_Index;elec_MW;elec_N;elec_NE;elec_S;elec_SE
1;3898.99;1596.03;4089.28;5970.85;26157.17
2;3513.95;1228.6;2999.07;5151.1;23866.63
3;3292.32;1037.32;2437.69;4701.41;22519.91
4;3065.65;921.04;2123.09;4328.51;21031.86
5;3256;893.3;1977.09;4504.14;22456.37
6;3270.07;872.09;1903.63;4496.12;22588.28
7;3305.11;925.77;2069.05;4592.93;22768.69
8;3250.99;968.3;2223.87;4580.96;22315.17
9;4138.67;1458.51;3569.84;6079.48;28093.63
10;4523.43;1531.82;3697.97;6576.37;30792.17
11;4393.8;1318.99;3039.38;6202.65;30145.42
12;4718.51;1642.48;4003.31;6908.87;32058.05
13;4146.67;1279.7;2982.56;5892.02;28401.02
14;3819.5;1211.91;2855.76;5463.51;26114.07
15;4221.87;1240.92;2833.89;5930.9;29002.72
16;4143.33;1160.52;2593.68;5757.71;28543.08
17;4343.12;1409.57;3350.38;6247.11;29650.05
18;3948.15;1121;2521.03;5503.06;27177.27
19;3875.28;1482.71;3725.47;5820.91;26142.45
20;2788.81;1483.56;4043.62;4645.79;18232.45
21;3428.26;2209.38;6232.35;6133.98;21875.17
22;3631.59;2435.33;6912.5;6601.91;23040.29
23;4602.89;2423.45;6591.69;7640.27;30127.46
24;4627.03;2252.25;6024.65;7478.62;30541.8
25;3898.99;1596.03;4089.28;5970.85;26157.17
26;3513.95;1228.6;2999.07;5151.1;23866.63
27;3292.32;1037.32;2437.69;4701.41;22519.91
28;3065.65;921.04;2123.09;4328.51;21031.86
29;3256;893.3;1977.09;4504.14;22456.37
30;3270.07;872.09;1903.63;4496.12;22588.28
31;3305.11;925.77;2069.05;4592.93;22768.69
32;3250.99;968.3;2223.87;4580.96;22315.17
33;4138.67;1458.51;3569.84;6079.48;28093.63
34;4523.43;1531.82;3697.97;6576.37;30792.17
35;4393.8;1318.99;3039.38;6202.65;30145.42
36;4718.51;1642.48;4003.31;6908.87;32058.05
37;4146.67;1279.7;2982.56;5892.02;28401.02
38;3819.5;1211.91;2855.76;5463.51;26114.07
39;4221.87;1240.92;2833.89;5930.9;29002.72
40;4143.33;1160.52;2593.68;5757.71;28543.08
