Time_Index;MW_NG;NE_NG;SE_NG;N_NG;S_NG;uranium_source;coal_S;coal_NE
1;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
2;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
3;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
4;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
5;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
6;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
7;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
8;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
9;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
10;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
11;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
12;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
13;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
14;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
15;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
16;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
17;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
18;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
19;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
20;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
21;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
22;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
23;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
24;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
25;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
26;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
27;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
28;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
29;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
30;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
31;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
32;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
33;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
34;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
35;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
36;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
37;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
38;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
39;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
40;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
41;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
42;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
43;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
44;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
45;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
46;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
47;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
48;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
49;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
50;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
51;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
52;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
53;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
54;19.52625;19.52625;19.52625;19.52625;19.52625;8.32;22.8725;22.8725
