time_index,res_basin_N,ror_basin_N,res_basin_NE,ror_basin_NE,res_basin_S,ror_basin_S,res_basin_SE,ror_basin_SE
1,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
2,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
3,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
4,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
5,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
6,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
7,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
8,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
9,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
10,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
11,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
12,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
13,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
14,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
15,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
16,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
17,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
18,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
19,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
20,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
21,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
22,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
23,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
24,0.327514481,0.046311985,0.355352153,0.336345697,0.516319748,0.629756733,0.636702981,0.878281653
25,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
26,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
27,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
28,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
29,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
30,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
31,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
32,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
33,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
34,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
35,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
36,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
37,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
38,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
39,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
40,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
41,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
42,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
43,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
44,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
45,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
46,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
47,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
48,0.323074367,0.047421032,0.351588032,0.330331248,0.56285424,0.622345376,0.647462884,0.899862779
49,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
50,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
51,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
52,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
53,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
54,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
55,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
56,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
57,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
58,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
59,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
60,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
61,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
62,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
63,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
64,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
65,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
66,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
67,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
68,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
69,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
70,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
71,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
72,0.315254798,0.04707859,0.35274425,0.330294337,0.593448998,0.609328922,0.649220947,0.910392345
73,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
74,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
75,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
76,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
77,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
78,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
79,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
80,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
81,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
82,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
83,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
84,0.312541928,0.04726133,0.35311046,0.331568475,0.562556036,0.569481648,0.641128228,0.907531649
