time_index,res_basins_N,ror_basins_N,res_basins_NE,ror_basins_NE,res_basins_S,ror_basins_S,res_basins_SE,ror_basins_SE
1,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
2,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
3,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
4,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
5,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
6,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
7,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
8,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
9,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
10,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
11,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
12,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
13,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
14,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
15,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
16,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
17,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
18,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
19,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
20,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
21,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
22,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
23,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
24,1.086643494,0.145294171,1.02543291,0.973680381,0.342465882,0.375093866,1.410742685,1.901840723
25,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
26,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
27,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
28,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
29,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
30,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
31,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
32,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
33,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
34,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
35,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
36,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
37,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
38,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
39,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
40,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
41,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
42,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
43,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
44,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
45,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
46,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
47,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
48,1.048253352,0.140351119,1.033089769,0.982697478,0.418867381,0.470419484,1.360828354,1.898296443
49,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
50,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
51,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
52,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
53,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
54,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
55,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
56,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
57,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
58,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
59,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
60,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
61,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
62,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
63,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
64,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
65,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
66,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
67,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
68,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
69,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
70,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
71,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
72,1.118531961,0.146668345,1.012486016,0.959604842,0.321565209,0.346798758,1.446745208,1.875786078
73,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
74,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
75,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
76,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
77,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
78,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
79,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
80,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
81,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
82,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
83,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
84,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
85,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
86,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
87,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
88,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
89,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
90,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
91,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
92,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
93,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
94,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
95,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
96,1.007338743,0.133260565,1.034311745,0.98646919,0.506905027,0.551236952,1.303084214,1.871897433
97,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
98,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
99,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
100,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
101,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
102,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
103,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
104,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
105,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
106,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
107,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
108,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
109,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
110,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
111,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
112,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
113,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
114,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
115,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
116,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
117,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
118,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
119,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
120,1.15010835,0.149994026,0.993196685,0.93728699,0.306176576,0.32579624,1.46988972,1.851583446
121,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
122,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
123,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
124,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
125,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
126,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
127,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
128,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
129,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
130,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
131,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
132,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
133,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
134,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
135,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
136,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
137,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
138,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
139,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
140,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
141,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
142,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
143,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
144,0.972090125,0.1284164,1.026020901,0.980562039,0.550240234,0.573548295,1.251616324,1.846387341
145,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
146,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
147,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
148,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
149,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
150,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
151,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
152,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
153,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
154,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
155,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
156,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
157,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
158,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
159,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
160,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
161,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
162,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
163,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
164,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
165,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
166,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
167,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
168,1.191389052,0.154675482,0.975109688,0.916337933,0.296159587,0.315977716,1.483845628,1.825534661
169,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
170,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
171,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
172,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
173,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
174,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
175,1.215406384,0.154508596,0.960561813,0.898317704,0.282948558,0.293005088,1.481492413,1.804784584
